id,eng,afr,xho,ssw,nbl,nso,ven,tso,sot,tsn,eng_pos_or_descriptor,eng_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info,xho_pos_or_descriptor,xho_pos_or_descriptor_info,ssw_pos_or_descriptor,ssw_pos_or_descriptor_info,nbl_pos_or_descriptor,nbl_pos_or_descriptor_info,nso_pos_or_descriptor,nso_pos_or_descriptor_info,ven_pos_or_descriptor,ven_pos_or_descriptor_info,tso_pos_or_descriptor,tso_pos_or_descriptor_info,sot_pos_or_descriptor,sot_pos_or_descriptor_info,tsn_pos_or_descriptor,tsn_pos_or_descriptor_info
dsac_pharmacy_first_edition_84,bioavailability / biological availability / BA,biobeskikbaarheid / biologiese beskikbaarheid,umyinge osebenzayo kwichiza / umlinganiselo okhoyo egazini,silinganiso sesidzakamiva engatini,ubungako besihlahla eengazini,kelonyanywa / kelomonwa,phimo ya mushonga malofhani kha zwi tshilaho,vukonamirini,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_85,bioburden / biological burden,biolas / biologiese las,umyinge weentsholongwane,bungako bemagciwane,ubungako bomulwana kokuphilako,paktheriantšitši / bontši bja paketheria,phimo ya zwitzhili kha zwi tshilaho,mpimaswitsongwatso-ngwana,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_86,bioequivalence / biological equivalence / BE,bioëkwivalensie / bio-ekwivalensie / biologiese ekwivalensie / biologiese gelykwaardigheid,ukusebenza ngokufanayo kwamachiza,kusebentakufana kwetidzakamiva,ukusebenza ngokufana kweenhlahla,tekantšhohlaremmele,mbambedzo ya kushumele kwa mishonga kha zwi tshilaho,ndzinganomatirhelo emirini,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_87,biohazard / biological hazard,biogevaar / biologiese gevaar,ubungozi kokuphilayo,bungoti kulokuphilako,ubungozi kokuphilako / ingozi kokuphilako,kotsipheding,khombo kha zwi tshilaho,swa nghozi eka swihanyi / xungetarihanyo,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_88,biological indicator / bio-indicator / BI,biologiese aanwyser / bioaanwyser,isiqinisekisimo yokusebenza komzimba,inkhombakuhlanteka / inkhomba yekungabi nemagciwane,ikombakuhlwengeka / ikombakuphepha,tšhupotlhweko,tsumba u kuna ha tshibveledzwa,xikombanxuviwo,,,,pharmacology,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_89,biological marker / biomarker,biologiese merker / biomerker,isiphawuli semompilo,luphawu lwesimomphilo,isitjengiso sokulawuleka kwesifo,taetšopaktheria,tsumbanyimele ya mutakalo,xikombaxiyimo xa rihanyo,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_90,biological medicine / biomedicine,biologiese medisyne / biomedisyne,iyeza elenziwa ngokuphilayo,umutsi lowentiwe ngalokuphilako,isihlahla esenziwe ngokuphilako / ukwelapha ngokwesayensi,sehlaresetšwadipheding,mushinga u bvaho kha zwi tshilaho,murhi wo huma eka xihanyi,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_91,bioprocessing / biological processing,bioprosessering / biologiese prosessering,ukuvelisa kokuphilayo,kukhicita ngalokuphilako,ukukhiqiza ngokuphilako / ukwenza ngokuphilako,go tšwadiphedi,mveledza mushonga kha zwi tshilaho,k’endla murhi hi swihanyi,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_92,biopsy,biopsie,uxilongosicwibi,kukhishelwalucwaningo kwelintfweshu / ibhayopsi,ukuhlola ngokutshephula isitho / ibhayopsi,nyakišišothišu / payopisi,u bvisa kupiḓa kwa u ṱola / bayopisi,bayopisi,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_93,biosimilar / biological similar medical product,biogelyksoortige middel,umyelelachiza / umyelelayeza,umkhicitofana,ukufana kweenhlahla,tšwanohlarepheding,mishongamveledzwa nga zwitshilaho i no fana,swiendliwafanana hi swihanyi / swimakiwafanana hi swihanyi,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_94,biowaiver / biological waiver,biokwytskelding / biotoetskwytskelding,ibhayoweyiva / imvume ekhethekileyo yovelisoyeza,imvumo lekhetsekile yekusebenta kufana kwetidzakamiva / ibhayoweyiva,ukungenzi ilingelelo lokusebenza kwesihlahla,tshelohlahlobohlare,ṋetshedzo ya thendelo ya u shuma nga zwi no fana / thendelo ya u linga mishonga,mpfumelelo wa ndzingetoxitlilinikali,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_95,bipolar disorder,bipolêre versteuring / bipolêre steurnis,iqwakaza / iphuku,buncobodvo / ibhayiphola,isivukavukani / ipherhupherhukomizwa,matsogedi / baephola,vhulwadze ha baiphoḽa,vuvabyi bya swipfukelwa,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_96,birth defect,geboortedefek / geboorte-afwyking,ukuzalwa unesiphako / ubulima ozelwe nabo,kuchwala / kukhubateka,uburhole,bogoletlhago,vhuhole ha u mbebo naho / vhuholefhalimbebwanaho,vutsoniwa,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_97,black-box warning,gevaarwaarskuwing / swartraamwaarskuwing,isilumkiso sobungozi beyeza,secwayiso sebungoti lobukhulu besidzakamiva,isiyeleliso somphumela ongakalindeleki / isiyeleliso somphumela wangeqadi,selemošakotsi,tsivhudzamasiandaitwa,xilemukisanghozi,,,,on the drug's label,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_98,bladder,blaas,isiniyi,sinye,isinye,sebudula / senya,dundelo,thundelo / ndzhundzelo,,,,organ,,,,,,,,,,,,,,nhlamba,,,,
dsac_pharmacy_first_edition_99,blindness,blindheid,ubumfama,bumphumphutse / kungaboni emehlweni,ubuphofu,bofofu,vhupofu,vubofu,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_100,blood bank,bloedbank,uvimba wegazi,sigciningati / libhangengati / silondvolotingati / silulungati,ibulungelo leengazi / ibulungelongazi,polokelomadi / bokgobamadi,mbulungelo ya malofha,vuhlayiselangati,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_101,blood clot,bloedklont,ihlwili,lihlwili,ihlwili,lehlwele / nkgothomadi,govho,ndhendhe / gadi ra ngati,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_102,blood plasma,bloedplasma,isiyilelogazi / iplazma yegazi,iplazima yengati,iplazima yeengazi,plasma ya madi,pulasima ya malofha,pulasima ya ngati,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_103,bone marrow,beenmurg,umongo,umnkantja,ummongo,mooko,mwongo wa rambo,mongo,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_104,booster dose,versterkdosis / onderskragingsdosis,umyinge wokomeleza / umlinganiselo wokomeleza,silinganisomutsi lesengetiwe / umtsamomutsi lowengetiwe,isilinganiso esingezelelako,sematlafatšahlare,phimonyengedzedzo dza maswole a muvhili,mpimamurhiengetelo,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_105,brace,stut,isilungelelanisi / isisekeli,sisekeli / silungisi,isisekelimathambo / umqabo,sethekgi,kwilidzitsike / tsombo / tshiṱangu,xihlangalala / xihakahlwa,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_106,bradycardia / brachycardia,bradikardie / bragikardie,ukubetha kwentliziyo ngokucothayo,kushaya kancane kwenhlitiyo,ukubetha kabuthaka kwehliziyo / ukubethela phasi kwehliziyo,pelosebetha ka go nanya,u thidivhitho nga u ongolowa,mbho wa mbilu hi ku nonoka,,,,unusually slow heartbeat,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_107,brain damage,breinskade,ukwenzakala ebuchotsheni,kulimala kwebucopho,ukulimala kobuqopho,kgobalobjoko,fuvhalo kha vhuluvhi,mbaviseka-byongo,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_108,brand-name drug,handelsmerkmedisyne / handelsmerkmedikasie,igama loshishino lechiza,luphawugama lwemutsi,ibizomvezo lesihlahla,leinatshwayohlare / leina la sehlare,dzinavhuvhambadzi ḽa tshidzidzivhadzi,xidzidziharisivitomumaki,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_109,breast pump,borspomp,isikhamimabele,sikhamimabele,isikghamimabele,segamamatswele,tshihama maḓamu,xikamavele,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_110,brittleness,brosheid,izinga lobukrwabakrwaba / izinga lobuqwabaqwaba,kwephuka kalula,ukuqephuka lula,thobegonolo,dzhenzheḓa,vutshoveka-ku-olova,,,,pharmaceutics,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_111,bronchitis,brongitis,iphika,lukhwehlekhwehle,isifo sokuvaleka kwemithambo yamaphaphu / ibhronkhayithisi,tšhatšhamelothurugo phaepheswafo / poronkhaithisi,vhuvalwakhana / bronkhaithisi,mpfimbaxinkolwana / ndzhumbelaxinkolwana,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_112,bronchodilator,brongodilator / lugpypverruimer,isivulimiphunga / isivulisifuba,sivulamaphaphu,isivulimithambo samaphaphu,sethušapuladiphaephe swafo / sethibolla mafahla,tshivulakhana,xipfulaxinkolwana,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_113,bruise / contusion,kneusplek / kneusing / kneus,umgruzuko,umhubuko / lidvuma / ingongoma / umvimbo,ibala lokubetheka / ibala lokuqhula,matetelo,u khuvhuwa / u khuzuwa / u khuruwa,felangati,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_114,bulimia,bulimie,isigulo sokuzigabhisa / ibhulimiya,sifo sekudla utihlantise,isifo sokudlela ukuhlanza / ibhulimiya,pulimia,buḽumia,bulimiya,,,,disturbance in eating behaviour,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_115,bunion,knokkel,ibhanyanisi,likhona,ibhaniyoni,paniyone,buniyoni / khontsi,baniyoni / nghonokakhundzu,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_116,calamine,kalamyn,ikhalamayini,ikhalamayini,ikhalamayini,khalamaene,khaḽamaini,khalamayini,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_117,callus / callous,eelt / kallus,ikonsi,sikofu,ikhonsi / ikhona,lephone / letswabadi,phoṋe / khontsi,mbhonya / nhlavele,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_118,calorie,kalorie,ikhalori / umlinganiselo mandla okutya,silinganiso mandla sekudla / ikhalori,ikhalori,khalori,khaḽorisi,khalori,,,,diet,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_119,camomile / chamomile,kamille,ikhemomayili / inxina,ikhemomayili / luhlobo lwemsutane,ikhemomayili,khemomaele,khamomaiḽi,khamomayili,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_120,camphor,kamfer / kanfer,ikhamfara,ikhemfa,ikhemfa,khemfa,khemfa,khemfa,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_121,cannula,kanule,umbhobho wonyango / ikhanula,lishubhu / ikhanyula,ikhenyula,khanyula,khanuḽa,khanula,,,,e.g. tube to drain fluid from the body,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_122,caplet,kaplet,ipilisi ebumbhoxo / ipilisi embhuntshuntshu,liphilisi lelidze / ikhaphulethi,ipilisi / ikheplethi,khapolete,khephuḽethe,khepulete,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_123,capping,dekselvorming,ukwahluka kubini kwepilisi,kucetuka kweliphilisi,isivalo sepilisi,phošo philising,u fhandekana ha philisi,mphemuko / nkwamuko,,,,tablet making,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_124,capsule,kapsule,ipilisi engumaselwanesingxobo / ikhepsuli,liphilisisalibhosho,ikhepsuli / ipilisi,khephisulu / khepsule,khephusuḽu,khepisulu,,,,medicine,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_125,carcinogen,karsinogeen / kankerverwekkende stof / kankerverwekker,iiseli zomhlaza / ikhasinojeni,sibangamhlata / sibangamdlavuta / ikhasinojeni,isibangelikankere / ikhasinojeni,sebakakankere / sehlolakankere,tshivhangapfuko / tshivhangakhentsara / khasinodzheni,xivangamfukuzana / khasinojeni,,,,cancer-causing substance,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_126,cardiovascular drug,kardiovaskulêre medisyne / kardiovaskulêre geneesmiddel,ichiza lesifo sentliziyo,sidzakamiva lesihlobene nenhlitiyo,iselaphi sesifo sehliziyo nemithambo / iselaphi sobulwele behliziyo nemithambo,seokobatšabolwetšipelo,tshidzidzivhadzi tsha u thivhela vhulwadze ha mbilu,xidzidziharisi xa vuvabyi bya mbilu,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_127,cascara,kaskara,ikhaskhara,ikhasikhara,ikhaskhara,khasikhara / khaskhara,khasikhara,khasikara,,,,laxative,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_128,castor oil,kasterolie,ikastroyile,woyela wemhlafutfo / ikhasta oyili,ikastroli,kasetoroli,khasiṱa oiḽi,mafurha ya nhlampfurha,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_129,catheter,kateter,umbhobho wokuchamisa / ikhathetha,lishubhu lekufaka nekukhipha luketjeti emtimbeni,itjhubhu elisikhambisi sokusamanzi emzimbeni / ikhathetha,khathetha,tshibvisa tshiluḓi muvhilini / khathyetha,xikokachelaswihalaki,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_130,central nervous system / CNS,sentrale senuweestelsel / sentrale senustelsel / SSS,imithamboluvo engundoqo,umsukaluhlelomiva,irherhomizwa lobuqopho nomgogodlha,mokgwapeakanyomegalatšhikagare,sisṱeme ya vhuṱaledzi lwa vhukati,sisitemekulu ya longobyongo,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_131,centrifugation,sentrifugering / sentrifugasie,ukuhluzwa kwegazi,kuhlunga / kusefa,ukutshega,kgaogantšhotswako,khethekhanyo ya zwiluḓi zwi no leluwa na zwi sa leluwi,vuhambanisaswitiswivevuki,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_132,centrifuge,sentrifuge / sentrifugeerder,isihluzigazi,lihluto,umtshini wokutshega,searogantšhametswako / sekgaoantšhatswako,mutshini wa u fhambanisa zwi no leluwa na zwi sa leluwi,xihambanyisaswitiyiswivevuki,,,,machine or device,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_133,cerebral palsy,serebrale gestremdheid / serebrale parese,ulimalobuchopho,bubungu,ukukhubazeka kobuqopho,bogolofadi bja go hlolwa ke kgobalo ya bjoko / kgolofalobjoko,fuvhalo kha vhuluvhi ha phanḓa,vutsoniwapfabyongweni,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_134,child-resistant packaging,kinderbestande verpakking,engenakuvulwa ngumntwana,lokungeke kuvulwe ngumntfwana,ukuvala ngokuvikela abantwana,sekhurumelotšhitabana,vhutsireledzavhana,mpangansirhelelo eka vana,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_135,child's dose / pediatric dosage,pediatriese dosis / kinderdosis,umlinganiselo wabantwana,silinganisomutsi semntfwana / umtsamomutsi wemntfwana,isilinganiso sabantwana,tekanyohlarengwana,phimamushonga wa vhana,mpimamurhi wa vana,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_136,chipping,afsplintering,okuqhezuka,kucetuka,ukuqephuka,kgetlogo,u peḓuwa,mpetluko,,,,of tablet edges,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_137,chlorination,chlorinering / chlorering,ucocomanzi ngeklorini,kuhlanta ngeklorini,ihlwengisomanzi ngetlorini,tlhwekišomeetsekatlilorini,vhukunakisa maḓi nga kulorini,mbhasiso hi tlilorini,,,,e.g. purifying water,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_138,cholesterol,cholesterol,ikholesteroli / amafutha asegazini,ikholesteroli,ikholesteroli,kholeseterole,kholesiterolo,kholesiterolo,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_139,chronic care,chroniese versorging / chroniese sorg,uzengezenge lonyango,lunakekelokwelashwa lolungagcini,itjhejo ngokwelatjhwa okungapheliko,tlhokomelotelele / tlhokomelokhroniki,ndondolo ya dzilafho ya nyimele i sa fheli,vuongorigodzombela / nhlayisagodzombela / vutshungurigodzombela,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_140,cinnamon,kaneel,isinamoni,isinamoni,isinamoni,sinamone,sinamoni,sinamoni,,,,medication,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_141,circulatory shock,sirkulatoriese skok / sirkulasieskok,ucothogazi lwethutyana,sitsikameti lutungelelongati,ukuthikamezeka komzombe weengazi / ukuthikaziseka komzombe weengazi,kgaotšotshepetšomadi / kgaotšokabomadi,nyimelo ya u ya u ongolowa i so ngo ḓoweleaho,hungutekondzhendzeleko wa ngati,,,,medical condition,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_142,circulatory system,bloedsomloopstelsel / bloedvatstelsel / bloedvaatstelsel,inkqubo yojikelezisogazi,luhlelo lwekutungeleta kwengati,irherho lokukhanjiswa kweengazi / ihlelo lokusebenza kwehliziyo,mokgwapeakanyomadi,sisṱeme ya nyelelo ya malofha,sisiteme ya ndzhendzeleko wa ngati,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_143,cleaning agent,skoonmaakmiddel / reinigingsmiddel,isicoci,umutsisihlanti / umutsisigezi,isihlwengisi,sehlwekiši,tshikunakisi,xibasisi,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_144,clinical,klinies,-phathelene nonyango,-phatselene nekwelashwa,-phathelene nesenzo sokwelapha,-kalafo / -bongaka,-ilafha,-xitlilinikali,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_145,clinical response,kliniese reaksie / kliniese uitwerking,ukusabela kunyango,kusebenta kwekwelashwa,umphumela wokwelatjhwa,phetogotšwakalafong,u shuma ha ngalafho,anguloxitlilinikali,,,,"caused by e.g. a drug, medicine, therapy",,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_146,closed joined length / CJL,lengte ná verseëling,ubude bekhephsuli,budze beliphilisisalibhosho,ubude bekhepsuli elipheleleko / ubude bekhepsuli,khephisulutelele,vhulapfu ha khephusulu,vulehinkatsanompfaleko,,,,of capsule,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_147,coagulation,stolling / koagulering / koagulasie,ukujiya kwegazi,lushubongati / lutiyongati,ukujiya kweengazi / ukwakheka kwehlwili,themišomadi / kgahlišomadi,u khekha ha malofha,ntiyangati,,,,to form blood clots,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_148,coating,bedekking,ukuhombisa / ukugudisa ipilisi,luhucophilisi,ukweleka ipilisi,thetofatšophilisi / go khoutha philisi,u khoutha / nḓodzaluvhemba,ntinto,,,,tablet making,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_149,coca leaf,kokablaar,igqabi lekhowukha,licembe lekhokha,ikari lekhowukha,letlakalakhoukha,ṱari ḽa khokhe,tluka ra khokha,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_150,coconut oil,klapperolie / kokosolie,ioli yekhokhonathi,emafutsa ekhokhonathi / i-oyili yekhokhonathi,amafutha wekhokhonathi / i-oli yekhokhonathi,oli ya khokhonate,oiḽi ya khokhonati,mafurha ya khokhonatioli,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_151,cod liver oil,lewertraan / visolie,ioli yentlanzi / ikhodiliva oyile,emafutsa esibindzi senhlanti ikhodi / i-oyili yesibindzi senhlanti ikhodi,amafutha wesibindi sekhodi / i-oli yesibindi sekhodi,olibetehlapikhoto / olibetekhoto,mapfura a tshivhindi tsha khovhe,mafurha ya xivindzi xa khovhe,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_152,coeliac disease / celiac disease,seliakie / seliaksiekte,ukwaliwa yigluthini / ukuguliswa yigluthini,sifo sekwaliwa yigluthini,ubulwele obubangwa yidlhuthini / isifo esibangwa yidlhuthini,aletšitluluthene,vhulwadze vhu vhangwaho nga glutheni,rinyenyadlilutheni,,,Great Britain,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_153,colic,koliek,imfuxwa / injeqane,inongwana / mankhatjana / ikholikhi,ikholikhi / ummoya ongemathunjini,go longwa / kholiki,tshilala,rivisana,,,,infants,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_154,combination product,kombinasieproduk / kombineermiddel / kombinasiemiddel,imveliso eyintlanganisela,sidzakamiva lesiyinhlanganisela,umtjhoga / umdidiyelo,sehlaretswakophodišo,tshibveledzwaṱhanganywa / mushongavanganywa,ximakiwankatsano,,,,pharmaceutics,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_155,common cold / cold,gewone verkoue / verkoue,umkhuhlane / imfuxane,umkhuhlane,umgomani / umkhuhlani,mokgohlane / mpshikela,mukhushwane / duda / mphigela,mukhuhlwana,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_156,co-morbid condition / co-morbidity,komorbiede toestand / komorbiditeit / newesiektetoestand,isigulo esibangelwa sesinye,kugula lokukuphatsa kanye kanye / kugula lokuhambisanako,isifo esikhambisana nesinye / ubulwele obukhambisana nobunye,malwetšitšhikammogo / malwetšikgwerano,vhulwadzembangwa nga vhuṅwe,vuvabyifambisana,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_157,compounding,bereiding / samestelling,ukuxuba amachiza,luhlanganisongco lwemitsi / ludidiyelongco lwemitsi,ukudidiyela isihlahla,tswakantšhophilisi / tlhakantšhohlare,thimbwana / u ṱanganyisa,vuhlanganisi,,,,pharmaceutics,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_158,compressed tablet,tablet,ipilisi ecinezelweyo,liphilisi lelicindzetelwe / liphilisi lelingcingciwe,ipilisi eligangadelweko,philisipateletšwa,philisiphwanywa / philisikhwanywa,philisi ro gandliwa,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_159,concomitant medication,bygaande medikasie / medewerkende medisyne,iyeza eliselwa nelinye,imitsi lesetjentiswa kanye kanye,iinhlahla ezingalaniko,dihlarenwewammogo,mishonga mishumiswa yoṱhe / mishongatshumiswanyangaredza,mirhifambisana,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_160,congenital,aangebore / kongenitaal,-vele nayo / -zelwe nayo,-telwe nako,-belethwe nakho / -bangelwe libhoduluko,-belegago nabjo / -tswalwago nabjo / -tlhago,doledza / bebwanaho,-tekeleriwa / -velekiwanabyo,,,adjective,"e.g. condition, disease present at birth",,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_161,congestion,stuwing / kongestie,ukuxinana,kuvimbana / kucinana,ukuvaleka / ukuvimbana,go thibana,u valea / u thivhea,mpfaleko,,,,e.g. nasal congestion,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_162,constipation,hardlywigheid / konstipasie,okuqhinwa,kucumba / kucinana kwesisu,ukuparelwa,pharelo,muzwimbelo,mpfimbelo / nqumbho,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_163,containment,inperking,uthinteloxubano,luvikelomitsi / luvikelosimo lwemitsi,ivikelekobhoduluko leenhlahla,tšhireletšohlare,tsireledzo ya fhethu ha zwidzidzivhadzi,nsirhelelanthyakiso,,,,e.g. in drug manufacturing,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_164,continuity of care,aaneenlopendheid van sorg / kontinuïteit van sorg,unyango oluqhubayo,lunakekelokwelashwa loluchubekako,itjhejo lokwelatjhwa eliragela phambili,tlhokomelotšwetšopele,ndondolomvelaphanḓa,ku yisiwa emahlweni ka vuongori / ku yisiwa emahlweni ka vutshunguri / ku yisiwa emahlweni ka nhlayiso,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_165,contraindication / counter-indication,teenaanduiding / kontraïndikasie / kontra-indikasie,ukhabano kunyango,simo lesivimbela kwelashwa / simo lesingavumeli kwelashwa,okuphambana nobujamo / okungavumelani nobujamo,thulanokalafo / tšhupothulano,nyiledzadzilafho,nkantirhisano,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_166,controlled trial,gekontroleerde proef / beheerde proef,ulingoyeza ngothelekiso,lucwaningokulinganisa,ilingelelomadaniso elilawulwako / ilingelelolinganiso elilawulwako,tekopapišo,ndingo mbambedza mashumele,ndzingeto lowu lawuriwaka,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_167,co-payment,bybetaling,ugcwalisontlawulo,inkhokhelo leyengetwa sigulane / inkhokhelo lebhadalwa sigulane,imbadalongezelelo / imbadalohlanganyela,tefelotlaleletšo,mbadelonyingwa / mbadelophaphwa,hakeloengetelo / hakelontlhandlekelo,,,,e.g. for medical services received,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_168,coronary heart disease,koronêre hartsiekte / hartvatsiekte,isifo semithambo yentliziyo,sifo semitsambo yenhlitiyo,ubulwele bemithambo yehliziyo / isifo semithambo yehliziyo,bolwetšitšhikapelo,vhulwadze ha tsinga dza mbilu,vuvabyi bya misiha ya mbilu,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_169,cost-free medicine,gratis medisyne / gratis medikasie,iyeza elingahlawulelwayo,umutsi wamahhala / umutsi longakhokhelwa,isihlahla esingabhadalwako,dihlarehlokatefo,mushonga wa mahala / mushongatshayambadelo,mirhi ya mahala,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_170,cough,hoes,ukhohlokhohlo,kukhwehlela,ukukhohlela,go gohlola,tshihoṱola,nkhohlolo,,,noun,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_171,counterfeit medicine,vervalste medisyne,iyeza lomgunyathi,umutsimbumbulu,isingasihlahla,dihlarefeiki / dihlarebofora,mishonga i si ya vhukuma,mufututu / murhi wa vuxisi,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_172,cross contamination,kruiskontaminering / kruiskontaminasie,ungcoliswano,kusulelana kwetidzakamiva,iqaphazelelwano / ithelelwano,tshwaetšano / tshwaetšoputla,tshikafhadzano ya mishonga,nthyakisano / ntluletano,,,,of e.g. drugs,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_173,culture medium,kweekmedium / kweekbodem / kultuurmedium,isivundisintsholongwane,imbiliso,isikhulisi semayikhrooganizimu,segodišapaketheria / sefepapaketheria,tshialusasele / tshialusatsiki,xikurisaswitsongwatson-gwana,,,,,,,,,,,,,,,,,,,,,,
dsac_pharmacy_first_edition_174,curative dose / CD,genesende dosis,umlinganiselo olingene ukuphilisa,silinganisomutsi leselaphako / umtsamomutsi lowelaphako,isilinganiso esipholisako,tekanyohlarephodišo,phimo ya i no fholisa / phimofhodza,mpimamurhi wo horisa,,,,,,,,,,,,,,,,,,,,,,
