id,eng,xho,eng_pos_or_descriptor,eng_pos_or_descriptor_info,xho_pos_or_descriptor,xho_pos_or_descriptor_info
uct_isiXhosa_economics_glossary_160,Marginal analysis,uhlalutyo lokongezelekileyo,"The comparison of marginal (""extra"" or ""additional"") benefits and marginal costs, usually for decision making.",,,
uct_isiXhosa_economics_glossary_161,Marginal benefit,inzuzo eyongezekileyo,The extra (additional) benefit of consuming 1 more unit of some good or service; the change in total benefit when 1 more unit is consumed.,,,
uct_isiXhosa_economics_glossary_162,Marginal capital,umlinganiselo wekhapitali eyengezekileyo,The amount of extra capital (in money terms) required to produce a R1 increase in national output.,,,
uct_isiXhosa_economics_glossary_163,Marginal consumer surplus,intsalela yomthengi ebingalindelekanga,The excess of utility from the consumption of one more unit of a good (MU) over the price paid: MCS = MU - P.,,,
uct_isiXhosa_economics_glossary_164,Marginal cost,iindleko ezongezekileyo,"MC / The extra (additional) cost of producing 1 more unit of output; equal to the change in total cost divided by the change in output (and, in the short run, to the change in total variable cost divided by the change in output).",,MC,
uct_isiXhosa_economics_glossary_165,Marginal disutility of work,ukungenzi ngcono ngokongeza ixesha; ukungoneliseki ngokusebenza ixesha elongezelelweyo,The extra sacrifice/hardship to a worker of working an extra unit of time in any given time period (e.g. an extra hour per day).,,,
uct_isiXhosa_economics_glossary_166,Marginal efficiency of capital,izinga lembuyekezo yotyalomali eyongezelekileyo,The rate of return of an investment: the discount rate that makes the net present value of an investment equal to zero.,,,
uct_isiXhosa_economics_glossary_167,Marginal physical product,imveliso ebonakalayo eyongezelekileyo,The extra output gained by the employment of one more unit of the variable factor: MPP = ATPP/AQv.,,,
uct_isiXhosa_economics_glossary_168,Mixed economy,"uqoqosho olungumxube; uqoqoqosho lweenkqubo zoluntu, oongxowankulu norhulumente",An economy where economic decisions are made partly by the government and partly through the market.,,,
uct_isiXhosa_economics_glossary_169,Mixed market economy,"uqoqoshomalike olulawulwa luluntu, oongxowankulu norhulumente",An economy where economic decisions are made partly by the government and partly through the market.,,,
uct_isiXhosa_economics_glossary_170,Mobility of labour,ukuba nokutshintsha imisebenzi kwabasebenzi,The willingness and ability of labour to move to another job.,,,
uct_isiXhosa_economics_glossary_171,Monetarism,imanitharizim; ukujonga ezoqoqosho ngeliso lemali; utyekelo emalini,The macroeconomic view that the main cause of changes in aggregate output and the price level is fluctuations in the money supply; espoused by advocates of a monetary rule.,,,
uct_isiXhosa_economics_glossary_172,Monetarists,Imanitharisti; abajonga ezoqoqosho ngeliso lemali; abatyekelimalini,Those who attribute inflation solely to rises in money supply.,,,
uct_isiXhosa_economics_glossary_173,Monetary base,imali esesandleni; imali eseluntwini,Notes and coin outside the central bank.,,,
uct_isiXhosa_economics_glossary_174,Monetary base control,ulawulomali esesandleni; ulawulomali eseluntwini,Monetary policy that focuses on controlling the monetary base (as opposed to broad liquidity).,,,
uct_isiXhosa_economics_glossary_175,Monetary multiplier,imanitharimalthiplaya; uphindaphindomali,The number of times greater the expansion of money supply is than the expansion of the monetary base that caused it.,,,
uct_isiXhosa_economics_glossary_176,Monetary policy,umgaqonkqubo wezemali,"A central bank's changing of the money supply to influence interest rates and assist the economy in achieving price stability, full employment, and economic growth.",,,
uct_isiXhosa_economics_glossary_177,Narrow definitions of money,iinkcazomali ezingaphangalalanga,Items of money that can be spent directly (cash and money in cheque-book/debit-card accounts).,,,
uct_isiXhosa_economics_glossary_178,Nash equilibrium,Iekhwilibhram kaNash; ulungelelaniso lukaNash,"The position resulting from everyone making their optimal decision based on their assumptions about their rivals' decisions. Without collusion, there is no incentive for any firm to move from this position.",,,
uct_isiXhosa_economics_glossary_179,National debt,ityala lelizwe,The accumulated budget deficits (less surpluses) over the years: the total amount of government borrowing.,,,
uct_isiXhosa_economics_glossary_180,National expenditure on domestic product,inkcitho yelizwe kwimveliso yasekhaya,E / Aggregate demand in the Keynesian model: i.e. Cd,,E,
uct_isiXhosa_economics_glossary_181,National income,ingeniso yelizwe,"Total income earned by resource suppliers for their contributions to gross domestic product; equal to the gross domestic product minus nonincome charges, minus net foreign factor income.",,,
uct_isiXhosa_economics_glossary_182,National income accounting,ubalomali lwengeniso yelizwe,The techniques used to measure the overall production of the economy and other related variables for the nation as a whole.,,,
uct_isiXhosa_economics_glossary_183,Nationalised industries,ushishino oluphantsi kukarhulumente; ushishino olulawulwa ngurhulumente,State-owned industries that produce goods or services that are sold in the market.,,,
uct_isiXhosa_economics_glossary_184,Natural level of output,isiphumo esikwizinga laso,The level of output in monetarist analysis where the vertical long-run aggregate supply curve (the long run Phillip's curve) cuts the horizontal axis.,,,
uct_isiXhosa_economics_glossary_185,Natural level of unemployment,umgangatho wentswelongqesho wesiqhelo,The level of equilibrium employment which is present at the natural level of output.,,,
uct_isiXhosa_economics_glossary_186,Natural monopoly,ukuxhamla wedwa okuqhelekileyo,A situation where long-run average costs would be lower if an industry were under monopoly than if it were shared between two or more competitors.,,,
uct_isiXhosa_economics_glossary_187,Natural rate of unemployment,umyinge wentswelongqesho wesiqhelo,"The rate of unemployment at which there is no excess or deficiency of demand for labour, this means there is no cyclical unemployment. It is still possible to have structural and frictional unemployment at this point.",,,
uct_isiXhosa_economics_glossary_188,Natural resources,indyebo eyindalo,Factors of production provided by nature.,,,
uct_isiXhosa_economics_glossary_189,Natural wastage,ucuthobasebenzi ngokuzenzekelayo,When a firm wishing to reduce its workforce does so by not replacing those who leave or retire.,,,
uct_isiXhosa_economics_glossary_190,Near money,okunokuba yimali ngokukhawuleza; okunokutshintshelwa emalini ngokukhawuleza,Highly liquid assets (other than cash).,,,
uct_isiXhosa_economics_glossary_191,Necessity,Isidingo; imfuneko,"This is a good that has to be consumed, e.g. food and water, i.e. without which we cannot live.",,,
uct_isiXhosa_economics_glossary_192,Needs,izidingo,"Goods that have to be consumed, e.g. food and water, for survival.",,,
uct_isiXhosa_economics_glossary_193,Negative GDP gap,Isithuba esingesihle seGDP,A situation in which actual gross domestic product is less than potential output.,,,
uct_isiXhosa_economics_glossary_194,Negative income tax,irhafu yengeniso engancumisiyo,A combined system of tax and benefits. As people earn more they gradually lose their benefits until beyond a certain level they begin paying taxes.,,,
uct_isiXhosa_economics_glossary_195,Negative relationship,ulwalamano olungancumisiyo; ubudlelane obungancumisiyo,Inverse relationship.,,,
uct_isiXhosa_economics_glossary_196,Open economy,uqoqosho oluvulelekileyo,An economy that exports and imports goods and services. Organisation of Petroleum Exporting Countries.,,,
uct_isiXhosa_economics_glossary_197,Open shop,apho kungekho sinyanzelo sokuba kwimanyano,A place of employment in which the employer may hire nonunion workers and the workers need not become members of a labour union.,,,
uct_isiXhosa_economics_glossary_198,Open-market operations,iinkqubo zemakethi ezivulekileyo,The sale (or purchase) by the authorities of government securities in the open market in order to reduce (or increase) money supply or influence interest rates,,,
uct_isiXhosa_economics_glossary_199,Open-market policy,umgaqonkqubo wemakethi evulelekileyo,.,,,
uct_isiXhosa_economics_glossary_200,Opportunity cost,ukuncama enye ngenye,The amount of other products that must be forgone or sacrificed to produce a unit of a product.,,,
uct_isiXhosa_economics_glossary_201,Optimal currency area,amazwe asebenzisa imali enye,"The optimal size of a currency area is the one that maximises the benefits from having a single currency relative to the costs. If the area were increased or decreased in size, the costs would rise relative to the benefits.",,,
uct_isiXhosa_economics_glossary_202,Optimum tariff,umyingemali oqingqiweyo wemirhumo,A tariff that reduces the level of imports to the point where the country's marginal social cost equals marginal social benefit.,,,
uct_isiXhosa_economics_glossary_203,Ordinal utility,iodinaliyutilithi; umlinganiselo ongasebenzisi nani,"A measure of utility that ranks preferences, but does not use an absolute scale. For example 4 utils is larger than 2, we cannot say 4 utils is twice the size of 2 utils.",,,
uct_isiXhosa_economics_glossary_204,Organisational slack,ukuba nezixhobo ezingaphezulu kwesidingo; ukuba namandla angaphezulu kwesidingo; ukuba nezakhono ezingaphezulu kwesidingo,"Where managers allow spare capacity to exist, thereby enabling them to respond more easily to changed circumstances.",,,
uct_isiXhosa_economics_glossary_205,Organization of Petroleum Exporting Countries,iOrganization of Petroleum Exporting Countries,"OPEC / A cartel of 11 oil-producing countries (Algeria, Indonesia, Iran, Iraq, Kuwait, Libya, Nigeria, Qatar, Saudi Arabia, Venezuela, and the UAE) that controls the quantity and price of crude oil exported by its members and that accounts for 60 percent of the world's export of oil.",,OPEC / umbutho wamazwe athumela ipetroliyam ngaphandle,
uct_isiXhosa_economics_glossary_206,Other-things-equal assumption,xa kulunge le konke kulungile,The assumption that factors other than those being considered are held constant.,,,
uct_isiXhosa_economics_glossary_207,Outpayments,intlawulo yezangaphandle,"The expenditures of domestic or foreign currency that the individuals, firms, and governments of one nation make to purchase goods and services, for remittances, to pay investment income, and for purchases of foreign assets.",,,
uct_isiXhosa_economics_glossary_208,Output,isiphumo; imveliso;,"The product of a firm, following the processing of the required inputs.",,,
uct_isiXhosa_economics_glossary_209,Output effect,ifuthe lesiphumo; ifuthe lemveliso; okuchatshazelwa yimveliso,"The situation in which an increase in the price of one input will increase a firm's production costs and reduce its level of output, thus reducing the demand for other inputs; conversely for a decrease in the price of the input.",,,
uct_isiXhosa_economics_glossary_210,Outsiders,abangaphandle kwengqesho,"Those out of work or employed on a casual, part-time or short-term basis, who have little or no power to influence wages or employment.",,,
uct_isiXhosa_economics_glossary_211,output ratio,Izinga lemveliso,The amount of extra capital (in money terms) required to produce a R1 increase in national output.,,,
uct_isiXhosa_economics_glossary_212,Overheads,iindleko zokusebenza,"Costs arising from the general running of an organisation, and only indirectly related to the level of output.",,,
uct_isiXhosa_economics_glossary_213,Paper money,imali eliphepha,Pieces of paper used as a medium of exchange; e.g South African Reserve Bank notes or Federal Reserve Reserve notes in the United States.,,,
uct_isiXhosa_economics_glossary_214,Paradox of voting,ukungaboni sidingo sakuvota,A situation where paired-choice voting by majority rule fails to provide a consistent ranking of society's preferences for public goods or services.,,,
uct_isiXhosa_economics_glossary_215,Pareto improvement,ukuphucula ngokukaPareto; ukulungelelanisa ngokukaPareto,Where changes in production or consumption can make at least one person better off without making anyone worse off.,,,
uct_isiXhosa_economics_glossary_216,Pareto optimality,ulungelelaniso oluyingxaki ngokukaPareto,"Where all possible Pareto improvements have been made: where, therefore, it is impossible to make anyone better off without making someone else worse off.",,,
uct_isiXhosa_economics_glossary_217,Parity concept,Ingcamango yokulingana,The idea that year after year a specific output of a farm product should enable a farmer to acquire a constant amount of non-agricultural goods and services.,,,
uct_isiXhosa_economics_glossary_218,Parity ratio,umyinge wokulingana,The ratio of the price received by farmers from the sale of an agricultural commodity to the prices of other goods paid by them; usually expressed as a percentage; used as a rationale for price supports.,,,
uct_isiXhosa_economics_glossary_219,Partial derivative,iderivethivu eyinxalenye,A market with just a few buyers or employers.,,,
uct_isiXhosa_economics_glossary_220,Partial differentiation,ukwahluka okuyinxalenye,Organisation of Petroleum Exporting Countries.,,,
uct_isiXhosa_economics_glossary_221,Partnership,ubuhlakani phakathi kwamashishini,A place of employment in which the employer may hire nonunion workers and the workers need not become members of a labour union.,,,
uct_isiXhosa_economics_glossary_222,Pay As You Earn,Hlawula Njengokuba uSamkela,Pay As You Earn.,,PAYE,
