id,eng,afr,nbl,xho,zul,nso,sot,tsn,ssw,ven,tso,eng_pos_or_descriptor,eng_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info,nbl_pos_or_descriptor,nbl_pos_or_descriptor_info,xho_pos_or_descriptor,xho_pos_or_descriptor_info,zul_pos_or_descriptor,zul_pos_or_descriptor_info,nso_pos_or_descriptor,nso_pos_or_descriptor_info,sot_pos_or_descriptor,sot_pos_or_descriptor_info,tsn_pos_or_descriptor,tsn_pos_or_descriptor_info,ssw_pos_or_descriptor,ssw_pos_or_descriptor_info,ven_pos_or_descriptor,ven_pos_or_descriptor_info,tso_pos_or_descriptor,tso_pos_or_descriptor_info
statssa_multilingual_statistical_terminology_342,Other residential buildings,Ander residensile geboue,Eminye imakho yokuhlala,Ezinye izakhiwo zokuhlala,Ezinye izakhiwo zokuhlala,Meago e mengwe ya tulo/madulo,Meaho e meng ya bodulo,Dikago tse dingwe tsa bonno,Takhiwo letinye tekuhlala,Zwiwe zwifhao zwa vhudzulo,Miako yinwana ya vutshamo,category: Industry and Trade,"definition: Include institutions for the disabled, boarding houses, old-age homes, hostels, hotels, motels, guest-houses, holiday chalets, bed-and-breakfast accommodation, entertainment centres and casinos.",,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_343,Other services,Ander dienste,Eminye imisebenzi,Ezinye iinkonzo,Eminye imisebenzi,Ditirelo te dingwe,Ditshebeletso tse ding,Ditirelo tse dingwe,Tinsita letinye,Dziwe tshumelo,Vukorhokeri byinwana,category: Industry and Trade,"definition: Refers to municipal services (except outstanding assessment rates), plumbers, builders, mechanics, panel-beaters and electricians.",,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_344,Percentage under-utilisation of production capacity,Persentasie onderbenutting van produksievermo,Isilinganiso ngamapesente sokubhalelwa kwamandla wokuqhikiza,Ipesenti yokusetyenziswa ngokungaphelelanga komthamo olindelweyo wemveliso,Iphesenti lokungakhiqizi ngokwamandla anele,Phesente ya terionene ya mothamo wa tweleto,Phesente ya kgaello ya tshebediso ya bokgoni tlhahisong,Phesente ya tirisotlase ya mothamotlhagiso,Emaphesenti ekungasebentisi ngalokuphelele emandla ekukhicita,Phesenthe kha ana ya tshaedza-/hahedzavhukoni ha mveledziso,Ntirhiso wa le hansi wa vundzeni bya andziso hi tiphesente,category: Industry and Trade,definition: The percentage under-utilisation of production capacity is calculated by deducting the percentage utilisation of production capacity from a hundred.,,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_345,Percentage utilisation of production capacity,Persentasie benutting van produksievermo,Isilinganiso ngamaphesende samandla wokukhiqiza,Ipesenti yokusetyenziswa komthamo wemveliso,Iphesenti lokukhiqiza ngokwamandla anele,Phesentetirio ya mothamo wa tweleto,Phesente ya tshebediso ya bokgoni tlhahisong,Phesente ya tiriso ya mothamotlhagiso,Emaphesenti ekusebentisa emandla ekukhicita,Phesenthe kha ana ya tshumiso ya vhukoni ha vhubveledzi,Ntirhiso wa le hansi wa vundzeni bya andziso hi tiphesente,manufacturing industry / category: Industry and Trade,"definition: A measure of the use of manpower, plant and machinery in manufacturing.",vervaardigingsnywerheid,,,,ushishino lwemveliso,,,,,,,,,,,,dowetshumo ya Vhumagi,,vumaki byo endla,
statssa_multilingual_statistical_terminology_346,PGMs,PGMe,ama-PGM,IiPGM,i-PGMs,PGMs,PGMs,DTP,i-PGM,PGMs,ti-PGM,category: Industry and Trade,definition: See Platinum Group Metals.,,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_347,Plaintiff,Eiser,Ummangali,Ummangali,Ummangali,Molli/mmelaedi,Moqosi,Mongongoregi,Ummangali,Muhweleli,Mumangari,category: Industry and Trade,definition: A person/party in a civil case who asks the court for judgement against another person.,,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_348,Platinum Group Metals,Platinumgroepmetale,AmaMethali wePlathinamu,Udidi lwezinyithi zeplatinamu,iPlatinum Group Metals,Dimetale ta legoro la pholatinamo,Ditshepe tsa sehlopha sa polatinamo,Dimetale tsoopolatinamo,Inhlangano Yetinsimbi Teplathinamu,Mitale / methala ya tshigwada tsha pulatinamu,Ntlawa wa timethali wa pulatinamu,category: Industry and Trade,definition: Include platinum; iridium; osmiridium; palladium; rhodium; ruthenium and osmium.,,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_349,Professional services,Professionele dienste,Imisebenzi yabosokghonolwazi,Iinkonzo zabaqeqeshiweyo,Imisebenzi eqeqeshelwe,Ditirelo ta bo porofeenale,Ditshebeletso tsa diprofeshenale,Ditireloithutelwa,Tinsita tebucwepheshe,Tshumelo dza mishumogudwa,Vukorhokeri bya ntirhodyondzelwa,category: Industry and Trade,"definition: Medical doctors/dentists, advocates/attorneys, auditors/ accountants, architects, engineers and hospital services.",,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_350,Promissory note,Promesse,Isithembiso sokubhadela,Isithembiso semali esityikityiweyo/ esisayiniweyo,Isethembiso esibhaliwe senkokhelo,Lengwalo la tshepio,Tokomane ya tshepiso,Lokwalotsholofetso,Setsembisomali lesibhaliwe,iwalo pfulufhedzisa mbadelo,Papila ra xitshembiso,category: Industry and Trade,"definition: Written note, signed by one person, in which he promises to pay money to another person or to the bearer of such a note on a specific date or on demand.",,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_351,R/D cheques,VT-tjeks,Amatjhege we-R/D,Iitsheki ezingenamali,Isheke elingemukelekanga/ Isheki elibhawunsile,Ditheke ta R/D,Ditjheke tsa RD,Dithekebuswa,Emasheke langenamali,Tsheke-/ndambiwa/khumiswa,Ticheke leti bampeke,category: Industry and Trade,definition: See refer-to-drawer cheques.,,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_352,Re-exports,Heruitvoergoedere,Ipahla ebuyiselwa ngaphandle / edluliselwa ngaphandle,Ukubuyiselwa kwempahla ebithengwe ngaphandle,Ukuphindiselwa kwempahla ezweni ebivela kulo,Diromelwantlelefswa,Thomello ya diamohelwa,Diromelwantle gape,Kutfumela njengobe utfunyelelwe,Zwiundwavhambadzelwa /-thumelwanna zwo tou ralo,Swirhumelwa nakambe,category: Industry and Trade,definition: Foreign goods exported in the same state as previously imported.,,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_353,Reference month,Verwysingsmaand,Inyanga eqaliweko,Inyanga yokungqinisisa,Inyanga okuthathiselwa kuyo,Kgwedithupeto/ kgwedi ya thupeto,Kgwedi e boletsweng,Kgwedikaelo,Inyanga lekusetjentelwa kuyo,wedzi,Nhwetinkongomiso,category: Industry and Trade,definition: One calendar month.,,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_354,Refer-to-drawer cheque,Verwys-na-trekker-tjek,Itjhege elibuyisiweko,Itsheki engenamali,Isheke elingemukelekanga/ Isheki elibhawunsile,Theke ya go buetwa go mong,Tjheke e sa leshwang,Thekebuswa,Lisheke lelingenamali,Tsheke-/ndambiwa/khumiswa,Cheke yo tlheriseriwa eka nwinyi,category: Industry and Trade,"definition: Dishonoured cheques. The drawer is the owner of the cheque. When a person issues a cheque and there is no money in the cheque account, the bank will refuse to pay the bearer. The cheque will be referred back to the drawer.",,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_355,Retail trade,Kleinhandelsbedryf,Irhwebo leentolo; ukuthengisa kweentolo,Intengiso- rhwebo,Ukuthengisa/ukudayisa ngamancozu,Kgwebo ya go rekia go badirii,Thekisetso ya setjhaba,Thekisetsosethaba,Kutsengisa,Vhubindudzi ha thengiso mbambadzo,Bindzu ro xavisela vanhu,category: Industry and Trade,definition: Includes the resale (sale without transformation) of new and used goods and products to the general public for household use.,,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_356,Retailer,Kleinhandelaar,Usositolo,Umthengisi,Umthengisi / umdayisi,Mogwebi,Morekisetsi wa setjhaba,Morekisetsasethaba,Umtsengisi,Bindu,Muxavisi,category: Industry and Trade,definition: An enterprise deriving more than 50% of its turnover from sales of goods to the general public for household use.,,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_357,Stratum,Stratum,Ikomba yobukhulu,Ukushiyiselana ngamaqondo,Ukwehlukanisa ngezibeba,Pharologanyothlopho go ya ka dikatshwano,Tlhopiso ya dikgwebo,Seterathamo,Lucwecwe,Tshigwada tsha zwi fanaho zwi linganaho,Xitarathamu/ swilofanana,category: Industry and Trade,definition: A stratum is constructed by concatenating the SIC classification and size group variables.,,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_358,Voluntary liquidation,Vrywillige likwidasie,Ukuzidlisa; ukuzivalela,Uvumo-bhango,Ukuzinqumela ukumisa ibhizinisi/ ukuwa emsebenzini,Tswalelo ya kgwebo ka boithaopo,Kgapo ya thepa ka boinehelo,Tswalokgwebo ka boithaopo; phatlhalatsokgwebo ka boithaopo,Kutivalela ibhizinisi,Vhuiwisatshioko,Heriso wa khamphani hi ku tinyiketela,category: Industry and Trade,"definition: When a company or close corporation, by own choice, resolves to wind up its affairs.",,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_359,Weight,Gewig,Izinga lokuqakatheka,Umgangatho wegalelo kwezemveliso,Inkomba yobukhondlakhondla,Boima bja boleng bja didiriwa,Bohlokwa,Bolengpapiso,Inkhombasisindvo,Tshikalandivhanele ya ndeme,Ntiko,manufacturing major group / category: Industry and Trade,"definition: The overall index for manufacturing is the ratio of the value added of the major group (i.e. output of a major group minus intermediate consumption) to the total value added of the manufacturing industry. The weight reflects the importance of the major group in the total. The weights change over time due to changes in the relative performance of industries, due to factors such as quality changes, changes in relative prices, and changes in customer preferences. New weights need to be calculated from time to time.",vervaardigingshoofgroep,,ikoro engamele zokukhiqiza,,amaqela amakhulu kwezemveliso,,ekukhiqizweni kwezimpahla,,,,dihlopha tsa bahlahisi,,madirelo,,imikhicito,,tshigwada tshihulwane tsha vhumagi,,ntlawankulu wa vumaki,
statssa_multilingual_statistical_terminology_360,Weight,Gewig,Izinga lokuqakatheka,Umgangatho wegalelo lemveliso kwezezimbiwa,Inkomba yobukhondlakhondla,Boima bja boleng bja dimenirala,Bohlokwa,bolengpapiso,Inkhombasisindvo,Tshikalandivhanele ya ndeme,Ntiko,mineral group / category: Industry and Trade,definition: The ratio of the sales of a mineral group to the total sales of the mining industry. The weight of a mineral group reflects the importance of the mineral group in the total mining industry. The weights change over time due to quality changes and changes in relative prices. New weights need to be calculated from time to time.,mineraalgroep,,ikoro yamaminerali,,amaqela kwizimbiwa,,kuzimbiwa,,,,sehlopha sa dimenerale,,dirawa,,timbiwa,,tshigwada tsha munerala,,ntlawa wa swicelwa,
statssa_multilingual_statistical_terminology_361,Wholesaler,Groothandelaar,Iwoliseyila,Unohoseyile/ unothengisa-sixa,Umwolisela/ umhwebi odayisa ngakuningi,Holesele,Morekisetsi wa dikgwebo,Morekisetsadikgwebo,Lwoliseli,Holosele / bindu thengiselamabindu,Muholiselara,category: Industry and Trade,definition: An enterprise deriving 50% or more of its turnover from sales of goods to other businesses and institutions.,,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_362,Wholesale trade,Groothandelsbedryf,Irhwebo lamawoliseyila,Urhwebo lwehoseyile,Ukuthengisa/ ukudayisa ngakuningi,Bogwebi bja holesele,Thekisetso ya dikgwebo,Thekisetsodikgwebo,Kuhweba ngebuwoliseli,Mbambadzo / -vhubindudzi ha bindu thengiselamabindu/ holosele,Nxaviso wa xiholiseli,category: Industry and Trade,"definition: Resale (sale without transformation) of new and used goods and products to other wholesalers, retailers, agricultural, industrial, commercial, institutional and professional users, either directly or through agents on a fee or contract basis.",,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_363,Active steps to seek work,Daadwerklike stappe om werk te soek,Amagadango wokufuna umsebenzi,Amanyathelo okufuna umsebenzi,Izinyathelo zokufuna umsebenzi ngokuzimisela,Matsapa a mahlahla a go nyaka moomo,Mekutu ya ho batla mosebetsi,Go batla tiro ka matlhagatlhaga,Tinyatselo tekufuna umsebenti,Maganyitelwa hoamushumo,Magoza yo gingirikela ku lava ntirho,category: Labour,"definition: Steps such as registration at an employment exchange, applications to employers, checking at work sites or farms, placing or answering newspaper advertisements, seeking assistance of friends, etc.",,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_364,Average monthly earnings at constant 2000 prices,Gemiddelde maandelikse verdienste teen konstante 2000-pryse,Ingeniso yenyanga eyi-avareji ejame eentengweni zika-2000,Iavareji yengeniso ngenyanga exabiso limi kunyaka wama-2000,Isilinganisomvama/ i-avareji yomihlomulo ngenyanga entengweni engaguquki onyaka we-2000,Palogare ya megolo ya kgwedi go ya ka ditheko ta 2000,Palohare ya kuno kgweding ho ya ka ditheko tse tsitsitseng tsa 2000,Palogare ya lotseno lwa kgwedi ka ditlhotlhwa tse di tsepameng tsa 2000,Silinganisomkhatsi semiholo ngenyanga wentsengo lemile ya-2 000,Mbuelotshikati dza wedzi kha mitengotiwa ya 2000,Mpimoxikarhi wa miholo ya nhweti eka mixavo leyi nga cinciki ya 2000,category: Labour,definition: Measure of change in average monthly earnings after the direct effects of inflation have been eliminated. The deflator used to devalue the current average earnings is the Consumer Price Index (2000=100).,,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_365,Average monthly earnings at current prices,Gemiddelde maandelikse verdienste teen huidige pryse,Ingeniso yenyanga eyi-avareji ngeentengo zanje,Iavareji yengeniso ngenyanga ngamaxabiso asebenzayo/ akhoyo,Isilinganisomvama/ i-avareji syemali engenayo entengweni yangaleso sikhathi,Palogare ya megolo ya kgwedi ka ditheko ta bjale,Palohare ya kuno kgweding dithekong tsa jwale,Palogare ya lotseno lwa kgwedi ka ditlhotlhwa tsa gajaana,Silinganisomkhatsi sanyalo semiholo ngenyanga,Mbuelotshikati dza wedzi kha mitengo ya zwino,Avhareji ya miholo ya nhweti eka minxavo ya sweswi,category: Labour,"definition: Are calculated by dividing the total gross earnings, excluding severance, termination and redundancy payments, for the reference month by the number of employees as at the end of the reference month.",,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_366,Casual employees,Los werknemers,Abasebenzi abatorhako,Abasebenzi abangezozigxina/ abangxungxi,Izisebenzi / abasebenzi zetoho,Baomi ba lebakanyana,Basebetsi ba tshohanyetso,Bathapiwa ba nakwana; badiri ba nakwana,Tisebenti telitoho,Vhashumi vha tshifhinganyana,Vatirhi va nkarhinyana,category: Labour,"definition: Employees who are typically working daily or hourly, whose services can be dispensed with at a very short notice, usually not exceeding a period of one week, and who are not entitled to benefits such as paid leave and medical aid contributions paid by employers.",,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_367,Current job,Huidige betrekking / Huidige werk,Umsebenzi umuntu akiwo,umsebenzi akuwo umntu ngexesha elikhankanyiweyo,Umsebenzi owenzayo,Moomo wa bjale,Mosebetsi wa hajwale,Tirogajaana / Tirobojaanong,Umsebenti lokuwo,Mushumo wa zwino,Ntirho wa sweswi,category: Labour,definition: The job in which a person is engaged during the survey reference period.,,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_368,Discouraged work-seeker,Ontmoedigde werksoeker,Umfunimsebenzi ophelelwe mamandla,Umfuni-msebenzi ongenathemba,Umfunimsebenzi osedikibele,Motsomamoomo yo a langwilego,Mmatli ya nyahameng wa mosebetsi; mmatlamosebetsi ya nyahamenng,Mmatlatiro yo o nyemileng mooko,Umfunimsebenti lodvumele,Muoamushumo gonobvadzwa,Munhu la nyameke ku lava ntirho,category: Labour,"definition: Person without work, who wants to work but has not taken active steps to seek work in the reference period.",,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_369,Domestic worker,Huiswerker,Isisebenzi sekhaya,Umncedisi wasekhaya,Isisebenzi sasendlini,Moomi wa ka lapeng,Mosebetsi wa lapeng,Modiredigae,Sisebenti sasekhaya,Muthusi /mushumi wa mua / hayani,Mutirhi wa le kaya,category: Labour,"definition: A person employed to work in a household as a cleaner, cook, nanny driver, gardener, etc. See live-in domestic worker under Census.",,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_370,Economic activity,Ekonomiese aktiwiteit,Umsebenzi womnotho,Iintshukumo zoqoqosho,Umsebenzi wezomnotho,Moongwana wa ikonomi,Ho hweba,Tiro e e tsenyang lotseno,Lokwentiwa temnotfo,Vhuitwa / mushumo wa Ekonomi,Nghingiriko wa xiikhonomi,Employment and Prices / category: Labour,"definition: (1) Any activity that contributes to the production of goods and services (contrasted with non-economic activity such as study or leisure).
(2) The main business of an enterprise. See industry.",Werkverskaffing en Pryse,,,,iNgqesho namaXabiso,,,,,,kgiro le ditheko,,,,,,Mushumo na Mitengo,,vuthori na mixavo,
statssa_multilingual_statistical_terminology_371,Economic sector,Ekonomiese sektor,Ikoro yomnotho,Icandelo loqoqosho,Umkhakha wezomnotho,Lefapa la ikonomi,Indasteri ya moruo; lekala la tsa moruo,Lephata la ikonomi,Umkhakha wetemnotfo,Sia / sekithara ya Ekonomi,Xiyenge xa ikhonomi,category: Labour,definition: Deprecated. Use industry.,,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_372,Economic status,Ekonomiese status,Ubujamo bomnotho,Ubume bezoqoqosho,Isimo/ izimo sezomnotho,Maemo a ikonomi,Maemo a moruo,Kemo ya ikonomi,Bunjalo betemnotfo,Tshiimohalusaekonomi,Xiyimo xa ikhonomi,category: Labour,"definition: Measure of the level of economic well-being of individuals, for which income and ownership of assets are commonly used.",,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_373,Economically active person,Ekonomies aktiewe persoon,Umuntu,Umntu onegalelo kwezoqoqosho,Ongene shi kwezomnotho,Motho wa maloka a go oma,Motho ya nang le seabo moruong,Motshwaelaikonoming,Umuntfu losebentako nobe lolungele kusebenta,Mulugelamushumo,Munhu loyi a gingirikelaka ku tirha,category: Labour,"definition: A person of working age who is available for work, and is either employed, or is unemployed but has taken active steps to find work in the reference period. See not economically active population and unemployed person.",,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_374,Educational level,Opvoedkundige vlak,Izinga lefundo,Inqanaba lemfundo,Izinga lemfundo,Legato la thuto,Boemo ba thuto,Kemothutego,Lizinga lemfundvo,Vhuimo ha pfunzo,Xiyimo xa swa tidyondzo,category: Labour,"definition: Educational level is aggregated into no formal education, primary school (grade 1 to grade 7), secondary school (grade 8 to grade 12) diploma or certificate without grade 12 (from lower to grade 11), diploma or certificate with grade 12, degree and other post-graduate degree.",,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_375,Employed,Persone in diens,-sebenzako,-Oqeshiweyo,-qashiwe/ sebenzayo,Thwetwego/hirilwego baomi,Hirilweng,Bathapiwa; badiri,Locashiwe,Tholwaho / hirwaho,Loyi a thoriweke,category: Labour,"definition: Those who performed work for pay, profit or family gain for at least one hour in the seven days prior to the interview or who were absent from work during these seven days, but did have some form of paid work to return to.",,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_376,Employed person,Persoon in diens,Umuntu osebenzako,Umntu oqeshiweyo,Umuntu oqashiwe,Motho yo a omago,Motho ya hirilweng,Mothapiwa; modiri,Umuntfu locashiwe,Mutholwa / muhirwa,Munhu loyi a thoriweke,category: Labour,"definition: A person who performs work for pay, profit or family gain in the reference point, or who was absent from work but had to work to return to. See employee.",,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_377,Employee,Werknemer,Isisebenzi,Umqeshwa,Isisebenzi/ umsebenzi,Moomedi,Mohiruwa; mosebeletsi,Mosebeletsi,Mothapiwa; modiri,Umcashwa,"Mushumi / mutholwa/muhirwa , Muthoriwa",Employment and Prices / category: Labour,"definition: A person (permanently, temporarily or casually employed) who normally works the agreed hours in his/her present job.",Werkverskaffing en Pryse,,,,iNgqesho namaXabiso,,,,,,kgiro le ditheko,,kgiro le theko,,,,,,Mushumo na Mitengo / vuthori na mixavo,
statssa_multilingual_statistical_terminology_378,Employee labour at constant compensation,Werknemersarbeid teen konstante besoldiging,Ukuthokozwa kwesisebenzi ngendlela efanako,Umsebenzi onembuyekezo efunyanwa rhoqo ngumqeshwa,Umsebenzi okhokhelwa iholo eingaguquki,Meongwana ya moomi ka putseleto ya go se fetoge,Mosebetsi wa bahiruwa ka dihlapiso tse tsitsitseng,Tiro ka tshuiso/phimolakeledi e e tsepameng,Umcashwa weliholo lelimile,Mushumi/ mutholwa /muhirwa kha mushumo wa ndilisotiwa,Mpimo wa vanhu lava ringaneleke ku tirha hi ndziriso lowu nga cinciki,category: Labour,definition: The current labour input at the levels of compensation of employees jobs ruling during a selected base period (1993 SNA93).,,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_379,Employee-related costs,Werknemersverwante kostes,Iindleko zeensebenzi,iindleko ezimalunga nomsebenzi,Izindleko eziqondene nabaqashwa,Ditshenyagalelo ta mabapi le moomi,Ditjeo tse amang mosebetsi,Ditshenyegelomodiring / Ditshenyegelomothapiweng,Tindleko tebasebenti,Mbadelo dza mutholwa,Tihakelo ta mutirhi,category: Labour,"definition: All compensation of employees, full-time and part-time, irrespective of whether the remuneration is paid out of revenue, capital or any other account.
Note:
Inclusions:
 Basic compensation
 Allowances
 Contribution to other benefit funds of employees such as medical aid, pension fund
 Contribution to other benefit funds of employees such as medical aid, pension fund
contributions, group life, etc.
Exclusions:
 Unemployment insurance
 Workmens compensation
 Other benefits such as housing subsidy etc.
 Uniform clothing and allowances allowances to councillors",,,,,nomqeshwa,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_380,Employer,Werkgewer,Umqatjhi,Umqeshi,Umqashi,Mongmoomo,Mohiri,Mothapi,Umcashi,Mutholi / muhiri,Muthori,category: Labour,definition: A person or organisation that uses the services of one or more people for pay in cash or kind.,,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_381,Employment,Werk,Umsebenzi,Ingqesho,Ukusebenza,Moomo,Kgiro,Mmereko; tiro,Umsebenti,Mushumo,Ntirho,category: Labour,"definition: An activity in which a person performs work for pay, profit or family gain. Such a person can be self-employed, an employer, an employee or a working family member.",,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_382,"Employment, informal","Werk, informeel [informele werk]","Umsebenzi, -ngakahleleki","Ingqesho, engenamigqaliselo/ engamiselwanga",Umsebenzi ongenasimo esimile/ ongahlelelekile,Moomo wa go se be wa semolao,Kgirommotwana; kgiro e sa ralwang,Letogo,"Umsebenti, longakahleleki","Mushumo, zwawo","Ntirho, lowu nga riki wa ximfumo",category: Labour,definition: Employment that takes place in a business or organisation not registered for income tax or VAT.,,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_383,Employment to population ratio / labour absorption rate,Werkverskaffingbevolkingsverhouding / Arbeidabsorpsiekoers,Isilinganiso sabantu abasebenzako,izinga lokuqeshwa kwabantu /umlinganiselo wabantu abasebenzayo,Izinga labaqashiwe / Izinga labasebenzayo emphakathini,Reio / Reiti ya thwalo / Khiro ya batho,Karolo ya ba sebetsang lekgolong ho ba dilemong tsa ho sebetsa,Kabopapiso ya badiri malebana le baagi,Lizinga lekucasheka kwebantfu,Kutholele nga ndivhanele ya lushaka/murafho,Matholele ku ya hi mpimoxiave wa vanhu / Mpimo wa matholele ya vatirhi,category: Labour,definition: See labour absorption rate,,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_384,Family gain,Gesinsvoordeel,Ukubuyelwa komndeni,Inzuzo yosapho,Inzuzo yasekhaya,Diputseleto ta lapa,Kuno ya lelapa,Poelo ya lelapa,Lokuzuzwa ngumndeni,Mbuelo ya mua/haya,Mbuyelo wa ndyangu,category: Labour,"definition: A benefit to ones family as a result of working, other than pay to oneself, for example, housing or use of land.",,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_385,Formal sector,Formele sektor,Ikoro ehlelekileko,Icandelo elinemigqalisela/ elimiselweyo,Umkhakha ohlelelekile,Lekala/lefapa la semolao,Indasteri e molaong; lekala le molaong,Lephata le le tlhomameng,Emabhizinisi lahlelekile,Sia /sekithara nzudzanywa,Xiyenge xa ximfumo,category: Labour,definition: Sector of employment made up of all employing businesses that are registered in any way.,,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_386,Full employment,Volledige werkverskaffing,Ukusebenza okupheleleko,Ingqesho esisigxina,Ukuqashwa ngokugcwele,Moomo ka botlalo,Kgiro ka botlalo,Mmereko o o feletseng; tiro e e feletseng,Kucashwa ngalokuphelele,Mushumonalo / phuphumo,Ntirho wa nkarhi hinkwawo,category: Labour,"definition: Situation when the economy is producing to its maximum sustainable capacity, using labour, technology, land, capital and other factors of production to their fullest potential.",,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_387,Full-time employee,Voltydse werknemer,Isisebenzi sesikhathi esipheleleko,Umqeshwa osisigxina,Oqashwe ngokugcwele,Moomi wa nako ka moka,Mohiruwa wa nako tsohle,Modiri/mothapiwa wa leruri,Umcashwa ngalokugcwele,Mushumi wa tshohe,Mutirhi wa nkarhi hinkwawo,category: Labour,"definition: Employee (permanent, temporary or casual) who normally works the agreed hours for a full days work, or, if agreed hours do not apply, for at least 35 hours a week.",,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_388,Gross earnings,Bruto verdienste,Ingeniso epheleleko,Intlawulo esisambuku,Isamba somholo/igrosi,Ditseno ka kakareto,Moputso o sekolokoto,Dituelo pele ga ditloso,Sambakhulu seliholo,Mbuelogue,Miholo hinkwayo,category: Labour,"definition: Payments for ordinary-time, standard or agreed hours and over-time hours during the reference period for all permanent, temporary, casual, executive and managerial employers/employees before taxation and other deductions. Inclusions: Payments in kind to farming employees such as meals, rations and free housing, but excluding rations and bonuses to farming contractors and their employees.",,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_389,Hours worked,Ure gewerk,Ama-awa/ama-iri asetjenziweko,Iiyure ezisetyenziweyo,Amahora asetshenziwe,Diiri teo di omilwego,Dihora tse sebeditsweng,Diura tse di dirilweng,Ema-awa lasetjentiwe,Awaratshumelwa,Tiawara leti tirhiweke,category: Labour,"definition: The total time spent producing goods and services, including overtime, during the reference period.",,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_390,Income,Inkomste,Ingeniso; imali,Ingeniso,Imali engenayo,Ditseno,Lekeno,Lotseno,Malingena,Mbuelo,Mbuyelo,company / category: Labour,"definition: All money received from sales of goods, services rendered, mineral rights leases; rental of land, buildings and other structures, plant, machinery, and motor vehicles; interest and dividends, royalties, franchise fees, copyright, trade names and patens rights, government subsidies and incentives, net profit on foreign loans, profit from redemption, liquidation or revaluation of liabilities, profile from the sale of realisation for cash or revaluation.",maatskappy,,ikhamphani,,inkampani/ikhampani,,enkampanini,,ta khamphane,,khamphani,,setlamo,,,,khamphani,,khamphani,
statssa_multilingual_statistical_terminology_391,Income,Inkomste,umvuzo,Umvuzo womntu,Imali engenayo,Moputso,Lekeno,Lotseno,Liholo,Mbuelo,Mbuyelo,individual / category: Labour,"definition: All money received from salary, wages or own business; plus money benefits from employer, such as contributions to medical aid and pension funds; plus all money from other sources, such as additional work activities, remittances from family members living elsewhere, state pension or grant, other pensions or grants, income from investments, etc.",individu,,womuntu ngamunye,,umntu ngamnye,,yomuntu,,wa motho,,motho,,motho-ka-esi,,,,mue,,munhu,
