id,eng,afr,xho,zul,eng_pos_or_descriptor,eng_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info,xho_pos_or_descriptor,xho_pos_or_descriptor_info,zul_pos_or_descriptor,zul_pos_or_descriptor_info
google_research_ai_terminology_27,Multimodal learning,multimodale leer,Ukufunda ngeeModali ezininzi,Ukufunda ngezinsuselakuyo eziningi,"A type of deep learning using multiple modalities of data, such as text, audio, or images.",,"’n Soort diepleer wat veelvuldige modaliteite data, soos teks, oudio of prente, gebruik.",,"Uhlobo lokufunda olunzulu usebenzisa iindela ezininzi zedatha, ezinjengemibhalo, okumanyelwayo, okanye imifanekiso.",,"Uhlobo lokufunda okujulile olusebenzisa amamodali wedatha angaphezu kweyodwa, njengombhalo, okulalelwayo, noma izithombe.",
google_research_ai_terminology_28,Natural Language Processing,natuurliketaalverwerking,UkuSetyenzwa koLwimi lweNdalo,Ukucubungula Kolimi Lwemvelo,"NLP / An interdisciplinary subfield of computer science and artificial intelligence, primarily concerned with providing computers with the ability to process data encoded in natural language. Major tasks in natural language processing are speech recognition, text classification, natural-language understanding, and natural-language generation.",,"NTV / ’n Interdissiplinêre subvakgebied in rekenaarwetenskap en kunsmatige intelligensie wat hoofsaaklik daarop ingestel is om aan rekenaars die vermoë te gee om data te verwerk wat in natuurlike taal geënkodeer is. Belangrike take in natuurlike taalverwerking is spraakherkenning, teksklassifikasie, natuurlike taalbegrip en natuurlike taalgenerering.",,"NLP / Indawo engaphantsi kwezifundo zenzululwazi yekhompyutha ne-artificial intelligence, yeyona nto ijongene nokubonelela iikhompyutha ngesakhono sokucubungula idatha efakwe ngekhowudi ngolwimi lwendalo. Imisebenzi ephambili ekusetyenzweni kolwimi lwendalo kukunakanwa kwentetho, ukuhlelwa kwemibhalo, ukuqonda ulwimi lwendalo, nokuveliswa kolwimi lwendalo.",,"NLP / Inkundla engaphezu kweyodwa yesayensi yekhompyutha nobuchwepheshe bokwakhiwe, egxile ngokuyinhloko ekunikezeni amakhompyutha ikhono lokucubungula idatha ebhalwe ngekhodi yolimi olungokwemvelo. Imisebenzi emikhulu ekucubunguleni kolimi lwemvelo ukubonwa kwengxoxo, ukuhlunga umbhalo, ukuqonda ulimi lwemvelo, nokukhiqiza ulimi lwemvelo.",
google_research_ai_terminology_29,Noisy data,raserige data,Idatha eninzi engelo ncedo,Imininingo enolwazi olungadingeki,Data with a large amount of additional meaningless information in it called noise.,,"Data met ’n groot hoeveelheid bykomende, betekenislose inligting daarin wat geraas genoem word.",,Idatha enesixa esikhulu senkcazelo eyongezelelweyo engenantsingiselo kuyo ibizwa ngokuba yi-noise.,,Idatha enenani elikhulu lemininingwane engenancazelo kuyo ebizwa ngomsindo.,
google_research_ai_terminology_30,One-shot prompting,eenvoorbeeldinstruksieteks,Uyalelo olumzekelo mnye,Ukuyalelela ngokukodwa,A prompting strategy that includes one example of the desired input and output,,’n Porboodskapstrategie wat een voorbeeld van die verlangde invoer en uitvoer insluit,,Isicwangciso sokuyalela esibandakanya umzekelo omnye wento efakwayo efunekayo nesiphumo,,Isu lomyalelo elibandakanya isibonelo esisodwa sokufakwayo nomphumela ofiselekayo,
google_research_ai_terminology_31,Open source,oopbron,Umthombo ovulelekileyo,Umthombo ovulekile,A source code (a plain text computer program written in a programming language) that is made freely available for possible modification and redistribution.,,’n Bronkode (’n rekenaarprogram in skoonteks wat in ’n programmeertaal geskryf is) wat vrylik beskikbaar gestel word vir moontlike wysiging en herverspreiding.,,Ikhowudi yomthombo (inkqubo yekhompyutha ebhaliweyo ecacileyo ebhalwe ngolwimi lwenkqubo) eyenziwe ifumaneke ngokukhululekileyo ukuze ikwazi ukuguqulwa nokusasazwa kwakhona.,,Ikhodi yomthombo (uhlelo lwekhompyutha lombhalo ongenalutho olubhalwe ngolimi lweprogramming) etholakala mahhala ukuze iguqulwe futhi isakazwe kabusha.,
google_research_ai_terminology_32,Output,afvoer,Imveliso,Umkhiqizo,"The information or creative work that an AI tool produces after it is prompted, such as an answer to a question, a text summary, an image, or a piece of music",,"Die inligting of kreatiewe werk wat ’n AI-nutsding lewer nadat dit gepor is, soos ’n antwoord op ’n vraag, ’n teksopsomming, ’n prent of ’n stuk musiek",,"Inkcazelo okanye umsebenzi wokudala oveliswa sisixhobo se-AI emva kokuyalelwa, njengempendulo yombuzo, isishwankathelo sombhalo, umfanekiso, okanye isiqwenga somculo",,"Imininingwane noma umsebenzi wobuciko okhiqizwa yithuluzi le-AI ngemva komyalelo, njengempendulo embuzweni, isifinyezo sombhalo, isithombe, noma umculo",
google_research_ai_terminology_33,Prompt,instruksieteks,Umyalelo,Umyalelo,"An instruction, usually expressed in natural language, used to get the desired output from a generative AI engine.",,"’n Instruksie, gewoonlik uitgedruk in natuurlike taal, wat gebruik word om die verlangde uitvoer van ’n generatiewe-AI-enjin te kry.",,"Umyalelo, odla ngokuchazwa ngolwimi lwendalo, osetyenziselwa ukufumana imveliso efunekayo kwi-injini ye-AI yokuvelisa.",,"Isiqondiso, ngokuvamile esivezwa ngolimi olungokwemvelo, esisetshenziselwa ukuthola umphumela ofiswayo enjinini ye-AI ekhiqizayo.",
google_research_ai_terminology_34,Prompt engineering,instruksieteksontwerp,Ubunjinelimyalelo,Ubunjiniyela bemiyalelo,The process of structuring an instruction that can be interpreted and understood by a generative AI model.,,Die proses om ’n instruksie te struktureer wat deur ’n generatiewe-AI-model geïnterpreteer en verstaan kan word.,,Inkqubo yokumisela umyalelo onokutolikwa uze uqondwe yimodeli ye-AI yokuvelisa.,,Inqubo yokwakha umyalelo ongase uchazwe futhi uqondwe yimodeli ye-AI ekhiqizayo.,
google_research_ai_terminology_35,Pseudonymization,pseudonimisering,IPseudonymization,Ukuzivezambumbulu,"The process of obscuring data with the ability to re-identify it later. Personally identifiable information fields within a data record are replaced by one or more artificial identifiers, or pseudonyms.",,"Die proses om data te verdoesel met die vermoë om dit later te heridentifiseer. Velde met persoonlik identifiseerbare inligting in ’n datarekord word vervang met een of meer kunsmatige identifiseerders, of pseudonieme.",,"Inkqubo yokufihla idatha nokwazi ukuyichonga kwakhona kamva. Indawo yenkcazelo echongiweyo ngokobuqu kwirekhodi yedatha ethathelwe indawo sisifanisi esinye, okanye ngapezulu, okanye ii-pseudonym.",,"Inqubo yokufihla idatha ngendlela yokukwazi ukuyibona futhi kamuva. Izinkundla zolwazi olukhomba umuntu siqu (PII) erekhodini ledatha ziyakhishwa kufakwe izinkomba zokwenziwa ezizodwa noma ngaphezulu, noma amapseudonyms.",
google_research_ai_terminology_36,Raw data,onverwerkte data,Idatha ekrwada,Imininingo engahlungiwe,"Also known as primary data, are data (e.g., numbers, instrument readings, figures, etc.) collected from a source, prior to cleaning or analysis.",,"Ook bekend as primêre data – dit is data (byvoorbeeld nommers, instrumentlesings, syfers, ensovoorts) wat van ’n bron af ingesamel is, voordat dit opgeruim of ontleed is.",,"Ekwabizwa ngokuba yidatha yangaphambili, yidatha (umzekelo, amanani, ukufundwa kwezixhobo, amanani, njalo-njalo.) eqokelelwe kumthombo ngaphambi kokucoca okanye uhlalutyo.",,"Yaziwa nangokuthi idatha eyinhloko, iyidatha (isib., izinombolo, ukufundwa kwethuluzi, izinombolo, njll.) eqongelelwa emthonjeni, ngaphambi kokuhlanza noma ukuhlaziya.",
google_research_ai_terminology_37,Reinforcement Learning,versterkingleer,Ukufunda ngokuKhuthazwa,Ukufunda Ukuthatha Izinqumo,RL / An interdisciplinary area of machine learning and optimal control concerned with how an intelligent agent ought to take actions in a dynamic environment in order to maximize the cumulative reward.,,VL / ’n Interdissiplinêre terrein van masjienleer en optimale beheer wat gemoeid is met hoe ’n intelligente agent in ’n dinamiese omgewing behoort op te tree om die kumulatiewe beloning so groot moontlik te maak.,,RL / Icandelo lokufunda koomatshini nolawulo olufanelekileyo olunenkxalabo ngendlela iarhente ekrelekrele ekufuneka ithathe ngayo amanyathelo kwindawo eguqukayo ukuze kwandiswe umvuzo owongezelekayo.,,Indawo engaphezu kweyodwa yokufunda komshini nokulawula okuthuthukisiwe okugxile endleleni i-ejenti ehlakaniphile okufanele ithathe ngayo izinyathelo endaweni eshintshashintshayo ukuze kuthuthukiswe umvuzo oqongelelwe.,
google_research_ai_terminology_38,Robotics,robotika,Irobhothiksi,IRobotiksi,"The interdisciplinary study and practice of the design, construction, operation, and use of robots (a machine—especially one programmable by a computer—capable of carrying out a complex series of actions automatically).",,"Die interdissiplinêre bestudering en toepassing van die ontwerp, konstruksie, bedryf en gebruik van robotte (’n masjien – veral een wat deur ’n rekenaar geprogrammeer kan word – wat in staat is om ’n komplekse reeks handelinge outomaties uit te voer).",,"Uphononongo lwezifundo ezahlukahlukeneyo nokusebenza koyilo, ukwakhiwa, ukusebenza, kunye nokusetyenziswa kweerobhothi (umatshini–ngakumbi omnye ocwangciswayo yikhompyutha–ekwaziyo ukwenza uluhlu olunzima lwezenzo ngokuzenzekelayo).",,"Ucwaningo olungaphezu kolulodwa nomsebenzi wedizayini, ukwakha, ukusebenza, nokusetshenziswa kwamarobhothi (umshini—ikakhulu ongahlelwa yikhompyutha—okwazi ukufeza uchungechunge lwezenzo eziyinkimbinkimbi ngokuzenzekelayo).",
google_research_ai_terminology_39,Speech recognition,spraakherkenning,Ukunakanwa kwentetho,Inzwagezwi,An interdisciplinary subfield of computer science and computational linguistics that develops methodologies and technologies that enable the recognition and translation of spoken language into text by computers.,,’n Interdissiplinêre subvakgebied van rekenaarwetenskap en rekenaarlinguistiek wat metodologieë en tegnologieë ontwikkel wat die herkenning en vertaling van gesproke taal in teks deur rekenaars moontlik maak.,,Icandelo elingaphantsi kwezifundo ezahlukeneyo zenzululwazi yekhompyutha neelwimi zekhompyutha eziphuhlisa iindlela nobuchwepheshe obuvumela ukuqondwa nokuguqulelwa kolwimi oluthethwayo kwisicatshulwa ngeekhompyutha.,,Inkundla engaphezu kweyodwa yesayensi yekhompyutha nolimi lwekhompyutha olusungula izindlela nobuchwepheshe obuvumela ukuqashelwa nokuhunyushwa kolimi olukhulunywayo ngombhalo emakhompyutheni.,
google_research_ai_terminology_40,Supervised learning,leer onder toesig,Ukufunda okujongiweyo,Ukufunda okuqashelwe,A paradigm in machine learning where input objects and a desired output value train a model.,,’n Paradigma in masjienleer waar invoervoorwerpe en ’n verlangde uitvoerwaarde ’n model oplei.,,I-paradigm ekufundeni koomatshini apho izinto ezifakwayo nexabiso elifunekayo lemveliso liqeqesha imodeli.,,Isibonelo sokufunda komshini lapho izinto ezifakwayo nenani lomphumela ofiswayo ziqeqesha imodeli.,
google_research_ai_terminology_41,Synthetic media,sintetiese media,Imidiya yokwenziwayo,Ezokwazisa ezikhiqizwa umshini,"A catch-all term for the artificial production, manipulation, and modification of data and media by automated means, especially through the use of artificial intelligence algorithms, such as for the purpose of misleading people or changing an original meaning. Also known as AI-generated media.",,"’n Versamelterm vir die kunsmatige produksie, manipulasie en modifikasie van data en media deur geoutomatiseerde metodes, veral deur die gebruik van algoritmes met kunsmatige intelligensie, soos met die doel om mense te mislei of om ’n oorspronklike betekenis te verander. Ook bekend as AI-gegenereerde media.",,"Intetho ehlala isetyenziswa yemveliso eyenziweyo , ukwenziwa nokuguqulwa kwedatha kunye nemidiya ngeendlela ezizenzekelayo, ngokukodwa ngokusetyenziswa kwee-algorithms ze-artificial intelligence, njengenjongo yokulahlekisa abantu okanye ukutshintsha intsingiselo yangaphambili. Ekwabizwa ngokuba yimidiya eveliswe yi-AI.",,"Itemu elihlanganisa konke lomkhiqizo owakhiwe, ukufuzisela, nokuguqulwa kwedatha nemidiya ngokuzenzakalelayo, ikakhulu ngokusebenzisa ama-algorithms wobuchwepheshe bokwakhiwe, ngenjongo yokudukisa abantu noma ukushintsha incazelo yasekuqaleni. Yaziwa nangokuthi yimidiya ekhiqizwe yi-AI.",
google_research_ai_terminology_42,Transfer learning,oordragleer,Udluliselo lokufundiweyo,Ukufunda kokudlulisela,"Transfer learning (TL) is a technique in machine learning (ML) in which knowledge learned from a task is re-used in order to boost performance on a related task.[1] For example, for image classification, knowledge gained while learning to recognize cars could be applied when trying to recognize trucks.",,"Oordragleer (OL) is ’n tegniek in masjienleer (ML) waarin kennis wat uit ’n taak geleer is, weer gebruik word om die prestasie met ’n verwante taak te verbeter.[1] Byvoorbeeld, vir prentklassifikasie kan die kennis wat verkry is terwyl daar geleer is om motors te herken, toegepas word wanneer daar geprobeer word om vragmotors te herken.",,"Ukufunda okudluliswayo (TL) bubuchule ekufundeni koomatshini (ML) apho ulwazi olufundwe kumsebenzi luphinda lusetyenziswe ukuze kunyuswe ukusebenza komsebenzi onxulumeneyo.[1] Umzekelo, kuhlelo lwemifanekiso, ulwazi olufunyenwe ngelixa ufunda ukuqaphela iimoto lunokusetyenziswa xa kuzanywa ukuqatshelwa iilori.",,"Ukufunda kokudlulisela (TL) ingubuciko ekufundeni komshini (ML) lapho ulwazi olutholwe emsebenzini lusetshenziswa kabusha ukuze kuthuthukiswe ukusebenza komsebenzi ohlobene.[1] Ngokwesibonelo, ekuhlungeni isithombe, ulwazi olutholwe ngesikhathi kufundwa ukuqaphela izimoto lungasebenza uma kuzanywa ukuqaphela amaloli.",
google_research_ai_terminology_43,Unsupervised learning,leer sonder toesig,Ukufunda okungajongwangwa,Ukufunda okungagadiwe,"A framework in machine learning where, in contrast to supervised learning, algorithms learn patterns exclusively from unlabeled data.",,’n Raamwerk in masjienleer waar – anders as met leer onder toesig – algoritmes patrone eksklusief uit ongemerkte data leer.,,"Isakhelo ekufundweni koomatshini apho, ngokuchaseneyo nokufunda okugadiweyo, ii-algorithm zifunda iipateni ngokukodwa kwiidatha ezingabhalwanga.",,"Ifremuwekhi ekufundeni komshini lapho, ngokungafani nokufunda okugadiwe, ama-algorithms afunda amaphethini ngokukhethekile kudatha engenalebula.",
google_research_ai_terminology_44,Zero-shot prompting,geenvoorbeeldinstruksieteks,Uyalelo olungena mizekelo,Ukuyalela ngeze,A prompting strategy that doesn’t include any examples about the desired input and output,,’n Porboodskapstrategie wat geen voorbeelde van die verlangde invoer en uitvoer insluit nie,,Isicwangiso sokuyalela esingabandakanyi nayiphi na imizekelo ngokufakwayo okufunekayo nesiphumo.,,Isu lokukhumbuza elingabandakanyi noma iziphi izibonelo ezimayelana nokufakwayo kanye nomphumela ofiswayo,
google_research_ai_terminology_45,A/B testing,A/B-toetsing,Uvavanyo lweA/B,Ukuhlolakuqhathanisa imikhiqizo,"A statistical way of comparing two (or more) techniques—the A and the B. Typically, the A is an existing technique, and the B is a new technique. A/B testing not only determines which technique performs better but also whether the difference is statistically significant.",,"’n Statistiese manier om twee (of meer) tegnieke te vergelyk - die A en die B. Gewoonlik is die A ’n bestaande tegniek en die B ’n nuwe tegniek. A/B-toetse bepaal nie net watter tegniek beter presteer nie, maar ook of die verskil wel statisties relevant is.",,"Indlela yezibalo yokuthelekisa iindlela ezimbini (okanye ngaphezulu)-i-A kunye ne-B. Ngokuqhelekileyo, i-A yinkqubo ekhoyo, kwaye i-B yindlela entsha. Uvavanyo lwe-A/B alubonisi nje kuphela ukuba boluphi na ubugcisa obusebenza ngcono kodwa nokuba umahluko ubalulekile ngokwezibalo.",,"Indlela yezibalo yokuqhathanisa izindlela - u-A kanye no-B. Ngokujwayelekile, u-A uyindlela ekhona, bese u-B abe yindlela entsha. Ukuhlola kwe-A/B akugcini ngokunquma ukuthi iyiphi indlela esebenza kangcono kodwa nokuthi umehluko wezibalo ubalulekile na.",
google_research_ai_terminology_46,Ablation,ablasie,Ukukhutshwa,ukukhipha izakhi,"In artificial intelligence (AI), particularly machine learning (ML), ablation is the removal of a component of an AI system. An ablation study investigates the performance of an AI system by removing certain components to understand the contribution of the component to the overall system.",,"In kunsmatige intelligensie (KI), spesifiek masjienleer (ML), is ablasie die verwydering van ’n komponent van ’n KI-stelsel. ’n Ablasiestudie ondersoek die werkverrigting van ’n KI-stelsel deur sekere komponente te verwyder om die bydrae van die komponent tot die algehele stelsel te verstaan.",,"Kubukrelekrele obenziweyo (iAI), ngokukodwa ukufundwa komatshini (ML), ukukhutshwa kukukhutshwa kwecandelo lenkqubo yeAI. Uphononongo lokuchithwa luphanda ukusebenza kwenkqubo yeAI ngokususa amacandelo athile ukuqonda igalelo lecandelo kwinkqubo yonke.",,"Ubuchwepheshe obusebenza ngokungasikho okwemvelo (i-AI), ikakhulukazi ukufunda ngomshini (i-ML), ukukhipha izakhi zohlelo lwe-AI. Ucwaningo lwezakhi luhlola ukusebenza kohlelo lwe-AI ngokususa izakhi ezithile ukuze uqonde igalelo lezakhi ohlelweni lulonke.",
google_research_ai_terminology_47,AI Adoption,KI-ingebruikneming,Uguqulelo kwiAI,Ukwamukela Ubuhlakani Obakhiwe,"In computing, adoption means the transfer (conversion) between an old system and a target system in an organization (or more broadly, by anyone). In regard to AI, it means using artificial intelligence to improve workflows and decision-making processes",,"In rekenaarwese beteken ingebruikneming die oordrag (omskakeling) tussen ’n ou stelsel en ’n teikenstelsel in ’n organisasie (of wyer nog, deur enigiemand). Met betrekking tot KI beteken dit dat kunsmatige intelligensie gebruik word om werkvloei en besluitnemingprosesse te verbeter.",,"Ekusebenzeni kweekhompyutha, uguqulelo luthetha ukudluliselwa (ukuguqulwa) phakathi kwenkqubo endala nenkqubo eyithagethi kwintlangano (okanye ngokubanzi, nguye nabani na). Ngokuphathelele iAI, kuthetha ukusebenzisa ubukrelekrele obenziweyo ukuze kuphuculwe ukuhamba komsebenzi neenkqubo zokwenza izigqibo.",,"Kwezocwaningo lwamakhompyutha, ukuguqukela kusho ukudlulisa (ukushintsha) usuke ohlelweni oludala kanye nohlelo okuphokophelwe kulo esikhungweni (noma kabanzi, okwenziwa yinoma wubani). Maqondana ne-AI, kusho ukusebenzisa ubuchwephe obusebenza ngokungasikho okwemvelo ukuthuthukisa umsebenzi kanye nezinqubo zokuthatha izinqumo",
google_research_ai_terminology_48,Anomaly detection,afwykingbespeuring,Ufunyaniso lokungaqhelekanga,Ukuhlonza okungavamile,"In machine learning, this is the process of using machine learning models to identify anomalies rapidly. This serves several purposes, whether to maintain clean, high-quality data that you will use for processing or specific business purposes.",,"In masjienleer is dit die proses waardeur masjienleermodelle gebruik word om onreëlmatighede vinnig te identifiseer. Dit dien verskeie doele, onder andere die behoud van skoon, hoëgehaltedata wat gebruik word vir prosessering of spesifieke besigheidsdoeleindes.",,"Ukufunda koomatshini, le yinkqubo yokusebenzisa iimodeli zokufunda ngoomatshini ukuchonga izinto ezingaqhelekanga ngokukhawuleza. Oku kusebenzela iinjongo ezininzi, nokuba kukugcina idatha ecocekileyo, ekumgangatho ophezulu oya kuyisebenzisela ukuprosesa okanye iinjongo ezithile zoshishino.",,"Ekufundeni ngemishini, lokhu kuyinqubo yokusebenzisa izinhlelo zokufunda ngemishini sokuhlonza okungavamile ngokushesha. Lokhu kusebenza ngokwezinhloso ezihlukene, okungaba wukugcina imininingwane engenasici, eseqophelweni eliphezulu ozoyisebenzisela ukulungisa noma izinhloso zebhizinisi ezibaluliwe.",
google_research_ai_terminology_49,Artifical general intelligence,kunsmatige algemene intelligensie,Ubukrelekrele obenziweyo ngokubanzi,Ubuhlakani Obakhiwe Obuvamile,"A non-human mechanism that demonstrates a broad range of problem solving, creativity, and adaptability. For example, a program demonstrating artificial general intelligence could translate text, compose symphonies, and excel at games that have not yet been invented.",,"’n Niemenslike meganisme wat ’n algemene, wye reeks probleemoplossing, kreatiwiteit en aanpasbaarheid demonstreer. Byvoorbeeld, ’n program wat kunsmatige intelligensie demonstreer kan teks vertaal, simfonieë komponeer en uitblink in speletjies wat nog nie geskep is nie.",,"Indlela engeyoyamntu ebonisa uluhlu olubanzi lokusombulula iingxaki, ukuyila, nokuguquguquka. Umzekelo, iprogramu ebonisa ubukrelekrele obenziweyo ngokubanzi bunokuguqulela umbhalo, buqambe iisimfoni, buze bugqwese kwimidlalo engekaveliswa.",,"Inqubo engeziwa abantu yokuveza uhla olubanzi lokuxazulula inkinga, ubuciko, kanye nokuhambisana nezimo. Isibonelo, uhlelo olubonisa ubuchwepheshe obusebenza ngokungasikho okwemvelo jikelele obungakwazi ukuhumusha umbhalo, buqambe imiculo, futhi buhambe phambili emidlalweni engakasungulwa.",
google_research_ai_terminology_50,Artificial Narrow Intelligence,kunsmatige beperkte intelligensie,Ubukrelekrele oBenziweyo oBumxinwa,Ubuhlakani Obakhiwe Obubhuncene,"ANI / Narrow AI can be classified as being “limited to a single, narrowly defined task. Most modern AI systems would be classified in this category.” Some examples of narrow AI are self-driving cars and robot systems used in the medical field.",,"KBI / Beperkte KI kan geklassifiseer word as ""beperk tot ’n enkel, noukeurig gedefinieerde taak"". Meeste moderne KI-stelsels sal in hierdie kategorie geklassifiseer word"". ’n Paar voorbeelde van beperkte KI is selfbestuurkarre en robotstelsels wat in die mediese veld gebruik word.",,"ANI / I-AI Emxinwa inokuhlelwa “njengesikelwe umda kumsebenzi omnye ochaziweyo. Uninzi lweenkqubo ze-AI zanamhlanje zingahlelwa kolu didi"". Eminye imizekelo ye-AI emxinwa ziimoto eziziqhubayo neenkqubo zerobhothi ezisetyenziswa kwicandelo lezonyango.",,"I-AI encinyanane okungathiwa ""inomkhawulo wokwenza umsebenzi owodwa umcinyane ochaziwe. Izinhlelo ze-AI zesimanje eziningi zingafakwa kulesi sigaba."" Ezinye izibonelo zobuchwepheshe obusebenza ngokungasikho okwemvelo obuncinyane yizimoto ezimoto ezizishayelayo kanye nezinhlelo zamarobhothi ezisetshenziswa emkhakheni wezokwelapha.",
google_research_ai_terminology_51,AutoML,OutoML,iAutoML,Ukufunda Kwemishini Ngokuzenzekela,Automated Machine Learning / Automated machine learning (AutoML) is the process of automating the tasks of applying machine learning to real-world problems. It is the combination of automation and ML.,,"outomatiese masjienleer / Outomatiese masjienleer (OutoML) is die proses waardeur die take waarin masjienleer op regtewêreldprobleme toegepas word, geoutomatiseer word. Dis die kombinasie van outomatisering en masjienleer.",,ukuFunda ngoMatshini okuZenzekelayo / Ukufunda ngomatshini ngokuzenzekelayo (iAutoML) yinkqubo yokuzenzela imisebenzi yokufaka umatshini wokufunda kwiingxaki zehlabathi lokwenyani. Yindibaniselwano yokuzenzela neML.,,Ufunda kwemishini ngokuzenzekela (i-AutoML) yinqubo yokuhlela ukuba imisebenzi izenzekele usebenzisa ukufunda kwemishini ezinkingeni zasemhlabeni zangempela. Kuhlanganisa ukuzenzekela kanye ne-ML.,
google_research_ai_terminology_52,Big data,groot data,Idatha enkulu,Imininingo emikhulu,"Primarily refers to data sets that are too large or complex to be dealt with by traditional data-processing application software. Big data usually includes data sets with sizes beyond the ability of commonly used software tools to capture, curate, manage, and process data within a tolerable elapsed time.",,"Verwys hoofsaaklik na datastelle wat te groot of kompleks is om deur tradisionele appsagteware vir dataprosessering gehanteer te word. Grootdata sluit gewoonlik datastelle in met groottes bó die vermoëns van sagtewarenutsgoed wat gewoonlik gebruik word om data binne ’n draaglike tydsduur vas te vang, saam te stel, te bestuur en te prosesseer.",,"Ngokuyintloko ibhekisa kwiiseti zedatha ezinkulu kakhulu okanye ezintsokothileyo ukuba zingasetyenzwa ngokwesiko lenkqubo yedatha yesoftware. Idatha enkulu idla ngokubandakanya iiseti zedatha ezinobungakanani obungaphaya kwamandla ezixhobo zesoftware ezisetyenziswa ngokuqhelekileyo ukubamba, ukulungelelanisa, ukulawula, nokucwangcisa idatha kwixesha elinyamezelekayo.",,"Kusho uhlu lwemininingwane olukhulu noma oludidayo oluzobhekana nesoftiwe yohlelo lokulungisa imininingwane lakudala. Imininingwane emikhulu ibandakanya uhlu lwemininingwane enobungakho obungaphezul kwamandla eamathuluzi esoftiwe evame ukusetshenziswa okuqopha, ukuphatha, ukulawula, nokulungisa imininingwane esikhathini esidlulile esamukelekile.",
google_research_ai_terminology_53,Binary classification,binêre klassifisering,Ukuhlelwa kweBinary,ukuhlela kokukabili,"A type of classification task that predicts one of two mutually exclusive classes: the positive class and the negative class. For example, a model that determines whether email messages are spam (the positive class) or not spam (the negative class).",,"’n Tipe klassifiseringtaak wat een of twee onverenigbare klassifiserings voorspel: die positiewe klas en die negatiewe klas. Byvoorbeeld, ’n model wat bepaal of ’n e-posboodskap gemorspos is (die positiewe klas) of nie gemorspos is nie (die negatiewe klas).",,"Uhlobo lomsebenzi wokuhlelwa oqikelela enye yeeklasi ezimbini ezizimeleyo: udidi oluhle kunye nodidi olubi. Umzekelo, imodeli emisela ukuba imiyalezo yeimeyile isispem (iklasi elungileyo) okanye ayisiso (udidi olubi).",,"Uhlobo lomsebenzi wokuhlukanisa ngokwamazinga oluqagela izinga elilodwa noma amabili akhethekile: amazinga okuhle kanye namazinga okubi. Isibonelo, uhlelo olunquma ukuthi ingabe imiyalelo yama-imeyli iwugaxekile (izinga lokuhle) noma akusiwo ugaxekile (izinga lokubi).",
google_research_ai_terminology_54,Black Box AI,swartboks-KI,Ibhokisi yeAI eMnyama,Ubuhlakani Obakhiwe obungeqondwe abantu,A term used to describe artificial intelligence systems whose internal workings and decision-making processes are opaque or not easily understandable to humans.,,’n Term wat gebruik word om KI-stelsels te beskryf waarvan die interne bewerkinge en besluitnemingprosesse ondeursigtig is en nie maklik deur mense verstaan kan word nie.,,Ibinzana elisetyenziselwa ukuchaza iinkqubo zobukrelekrele obenziweyo apho iindlela zangaphakathi zokusebenza kwazo neenkqubo zazo zokwenza izigqibo zingacacanga okanye zingaqondwa lula ngabantu.,,Itemu elisetshenziselwa ukuchaza ubuchwepheshe obusebenza ngokungasikho okwemvelo ezinezindlela zokusebenza zangaphakathi kanye nokuthatha izinqumo ezingacacile noma ezingaqondwa abantu kabula.,
google_research_ai_terminology_55,Data minimization,dataminimalisering,unciphisozinkcukacha,Ukunciphisa imininingo,"Data minimization is the principle of collecting, processing and storing only the necessary amount of personal information required for a specific purpose.",,"Dataminimalisering is die prinsiep waarin net die persoonlike inligting wat vir ’n spesifieke doel nodig is, ingesamel, verwerk en geberg word.",,"Ukunciphisa idatha ngumgaqo wokuqokelela, ukuprosesa nokugcina kuphela isixa esifunekayo senkcazelo yomntu efunekayo ngenjongo ethile.",,"Ukunciphisa imininingwane kuyinqubo yokuqoqa, ukulungisa nokugcina isibalo esidingekayo solwazi lomuntu siqu oludingeka ngokwenhloso ebaluliwe.",
google_research_ai_terminology_56,Debiasing,vooroordeelverwydering,Ukunciphisa ukuthatha icala,Ukuchezuka kokujwayelekile,"Debiasing is the reduction of bias, particularly with respect to judgment and decision making. Biased judgment and decision making is that which systematically deviates from the prescriptions of objective standards such as facts, logic, and rational behavior or prescriptive norms.",,"Vooroordeelverwydering is die vermindering van bevooroordeling, spesifiek met betrekking tot opinies en besluitneming. Bevooroordeelde opinies en besluitneming is dít wat stelselmatig afwyk van die voorgeskrewe objektiewe standaarde, soos feite, logikia en rasionele optrede of voorgeskrewe norme.",,"Ukunciphisa ukuthatha icala kukunciphisa umkhethe, ngakumbi ngokubhekisele kwisigwebo nokwenza izigqibo. Isigwebo nokwenziwa kwezigqibo okunomkhethe kukusuka ngokucwangcisiweyo kwimimiselo yemigangatho yenjongo efana neenyani, ingqiqo, nokuziphatha okunengqiqo okanye imigaqo emiselweyo.",,"Ukususa ukuchema kuwukunciphsa ukuchema, ikakhulukazi maqondana nokwahlulela kanye nokuthatha izinqumo. Ukwahlulela ngokungachemi kanye nokuthatha izinqumo kuyilokho okuchezuka ngokohlelo oluthile kulokho okumisiwe emigomweni yezimpokophelo njengamaqiniso, okuqondakalayo, kanye nokuziphatha ngokufanele noma izindlela ezimisiwe.",
