id,eng,xho,eng_pos_or_descriptor,eng_pos_or_descriptor_info,xho_pos_or_descriptor,xho_pos_or_descriptor_info
uct_isiXhosa_economics_glossary_160,Marginal analysis,uhlalutyo lokongezelekileyo,"The comparison of marginal (""extra"" or ""additional"") benefits and marginal costs, usually for decision making.",,,
uct_isiXhosa_economics_glossary_161,Marginal benefit,inzuzo eyongezekileyo,The extra (additional) benefit of consuming 1 more unit of some good or service; the change in total benefit when 1 more unit is consumed.,,,
uct_isiXhosa_economics_glossary_162,Marginal capital,umlinganiselo wekhapitali eyengezekileyo,The amount of extra capital (in money terms) required to produce a R1 increase in national output.,,,
uct_isiXhosa_economics_glossary_163,Marginal consumer surplus,intsalela yomthengi ebingalindelekanga,The excess of utility from the consumption of one more unit of a good (MU) over the price paid: MCS = MU - P.,,,
uct_isiXhosa_economics_glossary_164,Marginal cost,iindleko ezongezekileyo,"MC / The extra (additional) cost of producing 1 more unit of output; equal to the change in total cost divided by the change in output (and, in the short run, to the change in total variable cost divided by the change in output).",,MC,
uct_isiXhosa_economics_glossary_165,Marginal disutility of work,ukungenzi ngcono ngokongeza ixesha; ukungoneliseki ngokusebenza ixesha elongezelelweyo,The extra sacrifice/hardship to a worker of working an extra unit of time in any given time period (e.g. an extra hour per day).,,,
uct_isiXhosa_economics_glossary_166,Marginal efficiency of capital,izinga lembuyekezo yotyalomali eyongezelekileyo,The rate of return of an investment: the discount rate that makes the net present value of an investment equal to zero.,,,
uct_isiXhosa_economics_glossary_167,Marginal physical product,imveliso ebonakalayo eyongezelekileyo,The extra output gained by the employment of one more unit of the variable factor: MPP = ATPP/AQv.,,,
uct_isiXhosa_economics_glossary_168,Mixed economy,"uqoqosho olungumxube; uqoqoqosho lweenkqubo zoluntu, oongxowankulu norhulumente",An economy where economic decisions are made partly by the government and partly through the market.,,,
uct_isiXhosa_economics_glossary_169,Mixed market economy,"uqoqoshomalike olulawulwa luluntu, oongxowankulu norhulumente",An economy where economic decisions are made partly by the government and partly through the market.,,,
uct_isiXhosa_economics_glossary_170,Mobility of labour,ukuba nokutshintsha imisebenzi kwabasebenzi,The willingness and ability of labour to move to another job.,,,
uct_isiXhosa_economics_glossary_171,Monetarism,imanitharizim; ukujonga ezoqoqosho ngeliso lemali; utyekelo emalini,The macroeconomic view that the main cause of changes in aggregate output and the price level is fluctuations in the money supply; espoused by advocates of a monetary rule.,,,
uct_isiXhosa_economics_glossary_172,Monetarists,Imanitharisti; abajonga ezoqoqosho ngeliso lemali; abatyekelimalini,Those who attribute inflation solely to rises in money supply.,,,
uct_isiXhosa_economics_glossary_173,Monetary base,imali esesandleni; imali eseluntwini,Notes and coin outside the central bank.,,,
uct_isiXhosa_economics_glossary_174,Monetary base control,ulawulomali esesandleni; ulawulomali eseluntwini,Monetary policy that focuses on controlling the monetary base (as opposed to broad liquidity).,,,
uct_isiXhosa_economics_glossary_175,Monetary multiplier,imanitharimalthiplaya; uphindaphindomali,The number of times greater the expansion of money supply is than the expansion of the monetary base that caused it.,,,
uct_isiXhosa_economics_glossary_176,Monetary policy,umgaqonkqubo wezemali,"A central bank's changing of the money supply to influence interest rates and assist the economy in achieving price stability, full employment, and economic growth.",,,
uct_isiXhosa_economics_glossary_177,Narrow definitions of money,iinkcazomali ezingaphangalalanga,Items of money that can be spent directly (cash and money in cheque-book/debit-card accounts).,,,
uct_isiXhosa_economics_glossary_178,Nash equilibrium,Iekhwilibhram kaNash; ulungelelaniso lukaNash,"The position resulting from everyone making their optimal decision based on their assumptions about their rivals' decisions. Without collusion, there is no incentive for any firm to move from this position.",,,
uct_isiXhosa_economics_glossary_179,National debt,ityala lelizwe,The accumulated budget deficits (less surpluses) over the years: the total amount of government borrowing.,,,
uct_isiXhosa_economics_glossary_180,National expenditure on domestic product,inkcitho yelizwe kwimveliso yasekhaya,E / Aggregate demand in the Keynesian model: i.e. Cd,,E,
uct_isiXhosa_economics_glossary_181,National income,ingeniso yelizwe,"Total income earned by resource suppliers for their contributions to gross domestic product; equal to the gross domestic product minus nonincome charges, minus net foreign factor income.",,,
uct_isiXhosa_economics_glossary_182,National income accounting,ubalomali lwengeniso yelizwe,The techniques used to measure the overall production of the economy and other related variables for the nation as a whole.,,,
uct_isiXhosa_economics_glossary_183,Nationalised industries,ushishino oluphantsi kukarhulumente; ushishino olulawulwa ngurhulumente,State-owned industries that produce goods or services that are sold in the market.,,,
uct_isiXhosa_economics_glossary_184,Natural level of output,isiphumo esikwizinga laso,The level of output in monetarist analysis where the vertical long-run aggregate supply curve (the long run Phillip's curve) cuts the horizontal axis.,,,
uct_isiXhosa_economics_glossary_185,Natural level of unemployment,umgangatho wentswelongqesho wesiqhelo,The level of equilibrium employment which is present at the natural level of output.,,,
uct_isiXhosa_economics_glossary_186,Natural monopoly,ukuxhamla wedwa okuqhelekileyo,A situation where long-run average costs would be lower if an industry were under monopoly than if it were shared between two or more competitors.,,,
uct_isiXhosa_economics_glossary_187,Natural rate of unemployment,umyinge wentswelongqesho wesiqhelo,"The rate of unemployment at which there is no excess or deficiency of demand for labour, this means there is no cyclical unemployment. It is still possible to have structural and frictional unemployment at this point.",,,
uct_isiXhosa_economics_glossary_188,Natural resources,indyebo eyindalo,Factors of production provided by nature.,,,
uct_isiXhosa_economics_glossary_189,Natural wastage,ucuthobasebenzi ngokuzenzekelayo,When a firm wishing to reduce its workforce does so by not replacing those who leave or retire.,,,
uct_isiXhosa_economics_glossary_190,Near money,okunokuba yimali ngokukhawuleza; okunokutshintshelwa emalini ngokukhawuleza,Highly liquid assets (other than cash).,,,
uct_isiXhosa_economics_glossary_191,Necessity,Isidingo; imfuneko,"This is a good that has to be consumed, e.g. food and water, i.e. without which we cannot live.",,,
uct_isiXhosa_economics_glossary_192,Needs,izidingo,"Goods that have to be consumed, e.g. food and water, for survival.",,,
uct_isiXhosa_economics_glossary_193,Negative GDP gap,Isithuba esingesihle seGDP,A situation in which actual gross domestic product is less than potential output.,,,
uct_isiXhosa_economics_glossary_194,Negative income tax,irhafu yengeniso engancumisiyo,A combined system of tax and benefits. As people earn more they gradually lose their benefits until beyond a certain level they begin paying taxes.,,,
uct_isiXhosa_economics_glossary_195,Negative relationship,ulwalamano olungancumisiyo; ubudlelane obungancumisiyo,Inverse relationship.,,,
uct_isiXhosa_economics_glossary_196,Open economy,uqoqosho oluvulelekileyo,An economy that exports and imports goods and services. Organisation of Petroleum Exporting Countries.,,,
uct_isiXhosa_economics_glossary_197,Open shop,apho kungekho sinyanzelo sokuba kwimanyano,A place of employment in which the employer may hire nonunion workers and the workers need not become members of a labour union.,,,
uct_isiXhosa_economics_glossary_198,Open-market operations,iinkqubo zemakethi ezivulekileyo,The sale (or purchase) by the authorities of government securities in the open market in order to reduce (or increase) money supply or influence interest rates,,,
uct_isiXhosa_economics_glossary_199,Open-market policy,umgaqonkqubo wemakethi evulelekileyo,.,,,
uct_isiXhosa_economics_glossary_200,Opportunity cost,ukuncama enye ngenye,The amount of other products that must be forgone or sacrificed to produce a unit of a product.,,,
uct_isiXhosa_economics_glossary_201,Optimal currency area,amazwe asebenzisa imali enye,"The optimal size of a currency area is the one that maximises the benefits from having a single currency relative to the costs. If the area were increased or decreased in size, the costs would rise relative to the benefits.",,,
uct_isiXhosa_economics_glossary_202,Optimum tariff,umyingemali oqingqiweyo wemirhumo,A tariff that reduces the level of imports to the point where the country's marginal social cost equals marginal social benefit.,,,
uct_isiXhosa_economics_glossary_203,Ordinal utility,iodinaliyutilithi; umlinganiselo ongasebenzisi nani,"A measure of utility that ranks preferences, but does not use an absolute scale. For example 4 utils is larger than 2, we cannot say 4 utils is twice the size of 2 utils.",,,
uct_isiXhosa_economics_glossary_204,Organisational slack,ukuba nezixhobo ezingaphezulu kwesidingo; ukuba namandla angaphezulu kwesidingo; ukuba nezakhono ezingaphezulu kwesidingo,"Where managers allow spare capacity to exist, thereby enabling them to respond more easily to changed circumstances.",,,
uct_isiXhosa_economics_glossary_205,Organization of Petroleum Exporting Countries,iOrganization of Petroleum Exporting Countries,"OPEC / A cartel of 11 oil-producing countries (Algeria, Indonesia, Iran, Iraq, Kuwait, Libya, Nigeria, Qatar, Saudi Arabia, Venezuela, and the UAE) that controls the quantity and price of crude oil exported by its members and that accounts for 60 percent of the world's export of oil.",,OPEC / umbutho wamazwe athumela ipetroliyam ngaphandle,
uct_isiXhosa_economics_glossary_206,Other-things-equal assumption,xa kulunge le konke kulungile,The assumption that factors other than those being considered are held constant.,,,
uct_isiXhosa_economics_glossary_207,Outpayments,intlawulo yezangaphandle,"The expenditures of domestic or foreign currency that the individuals, firms, and governments of one nation make to purchase goods and services, for remittances, to pay investment income, and for purchases of foreign assets.",,,
uct_isiXhosa_economics_glossary_208,Output,isiphumo; imveliso;,"The product of a firm, following the processing of the required inputs.",,,
uct_isiXhosa_economics_glossary_209,Output effect,ifuthe lesiphumo; ifuthe lemveliso; okuchatshazelwa yimveliso,"The situation in which an increase in the price of one input will increase a firm's production costs and reduce its level of output, thus reducing the demand for other inputs; conversely for a decrease in the price of the input.",,,
uct_isiXhosa_economics_glossary_210,Outsiders,abangaphandle kwengqesho,"Those out of work or employed on a casual, part-time or short-term basis, who have little or no power to influence wages or employment.",,,
uct_isiXhosa_economics_glossary_211,output ratio,Izinga lemveliso,The amount of extra capital (in money terms) required to produce a R1 increase in national output.,,,
uct_isiXhosa_economics_glossary_212,Overheads,iindleko zokusebenza,"Costs arising from the general running of an organisation, and only indirectly related to the level of output.",,,
uct_isiXhosa_economics_glossary_213,Paper money,imali eliphepha,Pieces of paper used as a medium of exchange; e.g South African Reserve Bank notes or Federal Reserve Reserve notes in the United States.,,,
uct_isiXhosa_economics_glossary_214,Paradox of voting,ukungaboni sidingo sakuvota,A situation where paired-choice voting by majority rule fails to provide a consistent ranking of society's preferences for public goods or services.,,,
uct_isiXhosa_economics_glossary_215,Pareto improvement,ukuphucula ngokukaPareto; ukulungelelanisa ngokukaPareto,Where changes in production or consumption can make at least one person better off without making anyone worse off.,,,
uct_isiXhosa_economics_glossary_216,Pareto optimality,ulungelelaniso oluyingxaki ngokukaPareto,"Where all possible Pareto improvements have been made: where, therefore, it is impossible to make anyone better off without making someone else worse off.",,,
uct_isiXhosa_economics_glossary_217,Parity concept,Ingcamango yokulingana,The idea that year after year a specific output of a farm product should enable a farmer to acquire a constant amount of non-agricultural goods and services.,,,
uct_isiXhosa_economics_glossary_218,Parity ratio,umyinge wokulingana,The ratio of the price received by farmers from the sale of an agricultural commodity to the prices of other goods paid by them; usually expressed as a percentage; used as a rationale for price supports.,,,
uct_isiXhosa_economics_glossary_219,Partial derivative,iderivethivu eyinxalenye,A market with just a few buyers or employers.,,,
uct_isiXhosa_economics_glossary_220,Partial differentiation,ukwahluka okuyinxalenye,Organisation of Petroleum Exporting Countries.,,,
uct_isiXhosa_economics_glossary_221,Partnership,ubuhlakani phakathi kwamashishini,A place of employment in which the employer may hire nonunion workers and the workers need not become members of a labour union.,,,
uct_isiXhosa_economics_glossary_222,Pay As You Earn,Hlawula Njengokuba uSamkela,Pay As You Earn.,,PAYE,
uct_isiXhosa_statistics_glossary_0,Abscissa,abhusisa; isinqamlezisi,1.The horizontal or x-coordinate of a point in a Cartesian plane.,,1.Ukunqamleza okanye indawo elungeleleneyo engu-x kumgangatho othe tyaba we-Cartesian. umgama ophakathi ko-x no-y.,
uct_isiXhosa_statistics_glossary_1,Absolute frequency Absolute frequency,uphindaphindo olugqibeleleyo,"example of 1 / 1.The count or number of individual elements observed in a group or class. 2.The number of occurrences of an event; for example, in 100 tosses of a die, the absolute frequency of odd numbers may be 47.",,"1.Ubalo okanye inani lezakhi ezizimeleyo elibonwa kwiqela okanye udidi. 2.Inani lezenzeko zesiganeko; umzekelo, kwimijulo eli-100 yedayisi, uphindaphindo olupheleleyo lokwenzeka lwamanani angumqakathi lunokuba ngama-47.",
uct_isiXhosa_statistics_glossary_2,Absolute value,umlinganiselo wesithuba opheleleyo,1.The distance of a number from 0 on the number line. Absolute values are also called numerical values.,,1.Umgama wenani ukusuka ku-0 kumgca-manani. Amaxabiso apheleleyo nawo kananjalo abizwa amaxabiso amanani.,
uct_isiXhosa_statistics_glossary_3,Accuracy Accuracy,ukuchaneka; uchaneko,example of 5 / 1. The degree of closeness between a numerical quantity measured or calculated to its actual value. 2.The level of accuracy of a measurement is the number of significant digits.,,1.Iqondo lokusondelelana phakathi kobuninzi benani obulinganisiweyo okanye elibalwe ukuya kwixabiso lalo lokwenene. 2.Umgangatho wokuchaneka komlinganiso linani lemivo ebalulekileyo.,
uct_isiXhosa_statistics_glossary_4,Acute angle,atyhuthi engile; iengile ebazileyo; imbombo ebazileyo,1.Any angle with measure less than ninety degrees.,,1.Nayiphi na iengile enomlinganiso onganeno kwamaqondo angamashumi asithoba.,
uct_isiXhosa_statistics_glossary_5,Addition,udibaniso; ukudibanisa,"1.A mathematical operation resulting in the sum of two numbers, usually indicated by a plus (+) sign.",,"1.Ukubala kwemathematika (kwezibalo) okunesiphumo kudibanoso lwamanani amabini, okuboniswa ngokuqhelekileyo ngophawu lokudibanisa (+).",
uct_isiXhosa_statistics_glossary_6,Additive,isongezo,1.Relating to addition (adjective).,,1.Ngokunxulumene nodibaniso (isiphawuli),
uct_isiXhosa_statistics_glossary_7,Additive inverse,Isiguqulisongezo; edithivu invesi,1.The number or value obtained by change of sign: e.g. +3 and -3; +xy and -xy.,,1.Inani lexabiso elifunyenwe ngokuguqula uphawu: umz. +3 no -3; +xy no -xy,
uct_isiXhosa_statistics_glossary_8,Adjusted variance of the mean,ulungelelaniso lomahluko kumyinge,1.Variance of sample means from a finite population when sampling without replacement.,,1.Ukungevani kwee-avareji zesampulu evela kwinani lezinto ezinesiphelo xa kuthathwa ilunga lesampulu ngaphandle kokufaka elinye endaweni yayo.,
uct_isiXhosa_statistics_glossary_9,Algebra,aljibhra,"1. The use of symbols, usually letters, to represent numbers so that the numbers can be manipulated without stating their values.",,"1. Ukusebenzisa imiqondiso, ngokuqhelekileyo oonobumba, ukumela amanani ukuze amanani abenokusetyenziswa ngobuchule ngaphandle kokuxela amaxabiso awo.",
uct_isiXhosa_statistics_glossary_10,Angle,iengile; imbombo,1. A structure comprising two rays with a common endpoint.,,2. Isakhiwo esinemigca emibini enencam efanayo.,
uct_isiXhosa_statistics_glossary_11,Approximation,uqikelelo,2. A near but not exact equality.,,2. Ukulingana okuphantse kufane kodwa hayi ngqo.,
uct_isiXhosa_statistics_glossary_12,Axis,eksisi; umgca ohamba embindini,2. A line around which a solid rotates.,,2. Umgca lowo isolithi ijikeleza kuwo.,
uct_isiXhosa_statistics_glossary_13,Bar chart,ibhatshathi,1. A diagram which consists of vertical rectangular bars. The bars are constructed to have areas that are proportional to the observed frequencies of values in the intervals on which they stand.,,1. Umzobo oquka izitena (iibha) ezimi nkqo ezifana noxande. Izitena zakhiwe ukuba neendawo ezinolwalamano namaxabiso aphindaphindwayo abonwayo kwizikhewu ezimi phewu kwazo.,
uct_isiXhosa_statistics_glossary_14,Bar graph,bhagrafu,1. A diagram which consists of vertical rectangular bars. The bars are constructed to have areas that are proportional to the observed frequencies of values in the intervals on which they stand.,,1. Umzobo oquka izitena (iibha) ezimi nkqo ezifana noxande. Izitena zakhiwe ukuba neendawo ezinolwalamano namaxabiso aphindaphindiweyo abonwayo kwizikhewu ezimi phezu kwazo.,
uct_isiXhosa_statistics_glossary_15,Base,isiseko,"1. A number or expression to be raised to a power. In the expression x2, x is the base and 2 is the power. / 2. The lowest or bottom side of a plane figure, or bottom face of a solid.",,"1. Inani okanye umboniso wokunyuselwa kuphindaphindo lwenani. Kumboniso we- x2, u-x sisisekelo yaye u-2 kukuziphindaphinda kwenani. / 2. Elona cala lisezantsi okanye umphantsi wesazobe esithe tyaba, okanye ubuso bomphantsi wento eqinileyo.",
uct_isiXhosa_statistics_glossary_16,Baseline,isiqalelo; intsusela,1. A standard used for comparison in a study or an experiment.,,1. Umgangatho osetyenziswayo wokuthelekisa kuphononongo okanye kumfuniselo.,
uct_isiXhosa_statistics_glossary_17,Bias,ukutenxa,1. Misrepresentation of structure or of measurements,,1. Ukukhetha icala kwisakhiwo okanye umlinganiselo .,
uct_isiXhosa_statistics_glossary_18,Binomial,bhayinomiyali,1. An algebraic expression with two distinct terms which may not be further simplified. / 2. A polynomial with two terms.,,1. Umboniso we-aljebra onamabinza amabini acacileyo angenakho ukwenziwa kucalulwa ngaphazu koko. / 2. ipholinomiyali enamabinza amabini,
uct_isiXhosa_statistics_glossary_19,Binomial approximation,uqikelelo lwebhayinomiyali,1. Use of a binomial distribution to approximate probabilities in a hypergeometric distribution.,,1. Ukusebenzisa usasazo lwamagama amabini ukusondeza izinto ezinokwenzeka kusasazo lwejometri enkulu.,
uct_isiXhosa_statistics_glossary_20,Binomial coefficient,ibhayinomiyali esisigxina,"1. Any numerical factor that multiplies the successive terms in the expansion of an expression of the form (x+a)n, for integral n, in accordance with the binomial theorem.",,"1. Nayiphi na ifektha yenani ephindaphinda amagama alandelelanayo ekwandiseni imbonakalo yohlobo lwe-(x+a)n, ukwenzela u-n ofunekayo, ngokwetheyorem yamagama amabini.",
uct_isiXhosa_statistics_glossary_21,Binomial distribution,usasazeko lwebhayinomiyali,1. A statistical distribution giving the probability of obtaining a specified number of successes in a binomial experiment.,,1. Usasazo lwenkcukacha-manani olunika into enokwenzeka yokufumana inani elilodwa lwamalandelelwano kumfuniselo wamabinza amabini.,
uct_isiXhosa_statistics_glossary_22,Binomial process,inkqubo yebhayinomali,1. A sequence of observations from a binomial distribution.,,1. Ulandelelwano lweziphumo zovavanyo losasazo lwamabinza-mabini.,
uct_isiXhosa_statistics_glossary_23,Bivariate,bhayivariyethi,2. Consisting of two variables (adjective).,,2. Okunezimeli-manani ezimbini (isiphawuli),
uct_isiXhosa_statistics_glossary_24,Box-and-whisker plot,umzobo wosasazekomanani,"1. A diagram that is used to illustrate measures of location and spread of a data set against a common axis; e.g. median, quartiles and range.",,"1. Umzobo osetyenziswa ukubonisa imilinganiso yendawo nokusasazeka kwedata ebekwe ngokuchasene nomgca oqhelekileyo osembindini; umz.,umbindi, iziqingatha noluhlu.",
uct_isiXhosa_statistics_glossary_25,Cartesian coordinates,ulwamanisomanani ngokweCartesian,"1. Pairs of numbers that uniquely identify positions of points in a Cartesian plane, usually represented by x and y for horizontal and vertical positions respectively.",,"1. Iperi (isibini) yamanani achonga ngokukhethekileyo iincam zeendawo kwisityaba seCartesian, ngokwesiqhelo amelwe ngu-x no-y ukwenzela iindawo ezinqamlezileyo nezimi nkqo ngokulandelelana.",
uct_isiXhosa_statistics_glossary_26,Cartesian plane,isityaba seCartesian,1. A two-dimensional space whose points are identified by their horizontal and vertical coordinates.,,1. Isithuba semilinganiso emibini eso iincam zaso zichongwa zizilungelelanisi zazo ezinqamlezayo nezimi nkqo.,
uct_isiXhosa_statistics_glossary_27,Case,indibanisela yeenkcukacha,"1. A set of all observations on variables from a single observational unit, e.g. height, weight, age and eye-colour of a particular person.",,"1. Isethi yazo zonke iingqwalaselo kwizinto ezitshintshayo ukusuka kwiyunithi eyodwa yokuqwalasela, umz., ubude, ubunzima, ubudala nombala wamehlo omntu othile.",
uct_isiXhosa_statistics_glossary_28,Categorical data,iinkcukacha ezingengomanani,1. Data values or observations recorded as membership of mutually exclusive categories or classes.,,1. Amaxabiso edata okanye iingqwalaselo ezirekhodwe njengobulungu beendindi okanye imigangatho ekhetheke ngokufanayo.,
uct_isiXhosa_statistics_glossary_29,Census,ubalobantu,1. An organised process seeking to obtain qualitative or quantitative data from all members of a population. (See sample survey.),,1. Inkqubo elungiselelweyo efuna ukufumana idata yobulunga okanye yobuninzi ukuvela kuwo onke amalungu abemi. (Jonga isampulu yovavanyo).,
uct_isiXhosa_statistics_glossary_30,Central limit theorem,sentrali-limithi thiyorem; usasazekosampuli oluqhelekileyo,"1. A theorem of statistics which shows that the distribution of the sample means, though each is obtained using observations from the same arbitrary random variable, will tend to follow a normal or Gaussian distribution. This approximation improves as sample size increases.",,"1. Itheyorem yenkcukacha-manani ebonisa ukuba usasazo lwemindilili yesampulu, nangona nganye ifunyenwe ngokusebenzisa iingqwalaselo ezivela kutshintsho olufanayo lokuzithandela olungahlelwanga, iya kuthambekela ukulandela usasazo lwesiqhelo okanye lwe-Gaussian. Olu qikelelo luyaphucuka njengoko isayizi yesampulu isanda.",
uct_isiXhosa_statistics_glossary_31,Centre of symmetry,umbindi wolinganomacala,1. A point around which a curve is symmetrical.,,1. Incam apho ukujikeleza kwegophe kunamacala alinganayo.,
uct_isiXhosa_statistics_glossary_32,Chi-squared distribution,Chi-sikhwensi distribyushini; usasazekozinkcukacha lweChi,"1. A continuous one-parameter non-symmetric distribution, used in measuring goodness of fit, in hypothesis testing and in obtaining confidence intervals for the variance of a normally distributed random variable.",,"1. Usasazo oluqhubekayo lobuninzi obungatshintshiyo lwamacala angalinganiyo, olusetyenziswa ukulinganisa ukulunga kokufaneleka, kwengcinga eyandulela uvavanyo kuvavanyo lwengcinga nasekufumaneni izikhewu zentembeko zokwahlukahlukana kotshintsho lokungevani kwesimeli-manani esinosasazo oliqhelekileyo.",
uct_isiXhosa_statistics_glossary_33,Chord,khodi; umgca ocanda isangqa,1. The line segment connecting two given points on a circle.,,1. Ilungu lomgca odibanisa iincam ezimbini ezinikiweyo kwisangqa.,
uct_isiXhosa_statistics_glossary_34,Circle,isangqa,1. The set of all points in a plane at a given distance (the radius) from a fixed point (the centre).,,1. Isethi yazo zonke iincam kwisityaba kumgama onikiweyo (ireyidiyasi) ukusuka kwincam ezinzisiweyo (umbindi).,
uct_isiXhosa_statistics_glossary_35,Circle interior,umphakathi wesangqa,"1. The set of all points interior to a circle, with smaller distance from the centre than the radius length.",,"2. Isethi yazo zonke iincam zomphakathi wesangqa, nomgama omncinci ukusuka kumbindi kunobude bereyidiyasi.",
uct_isiXhosa_statistics_glossary_36,Circumference,ubungakanani besangqa,"2. The distance around a circle, the length of the perimeter.",,"2. Umgama ukujikeleza isangqa, ubude bomjikelezo.",
uct_isiXhosa_statistics_glossary_37,Class,udidi,"1. A group of observed numerical observations, defined by each of a convenient set of intervals covering the entire range of values.",,"1. Iqela lemiqwalaselo yamanani eliqwalaselweyo, elichazwa yesethi nganye encedayo yezithuba eziquka lonke uluhlu lwamaxabiso.",
uct_isiXhosa_statistics_glossary_38,Data,iinkcukacha,"1. The elements of categorical or numerical information gathered from an experiment, a survey, an observational study or routine record keeping.",,"1. Amalungu odidi okanye inani lolwazi oluqokelelwe kumfuniselo, uphando, uphononongo lwembonakalo okanye isiqhelo sokugcina irekhodi.",
uct_isiXhosa_statistics_glossary_39,Data case,indibanisela yeenkcukacha,1. A set of observations on all the variables obtained from a single observational unit.,,1. Isethi yeembonakalo zazo zonke izinto ezitshintshayo ezifunyenwe kwiyunithi enye yembonakalo.,
uct_isiXhosa_statistics_glossary_40,Data matrix,isakhelo seenkcukacha,"1. A rectangular array of data, one row per observational unit, and one column for each variable.",,"1. Uluhlu lwedata olufana noxande, olungumgca omnye ngeyunithi nganye yembonakalo, nentsika enye ngento nganye etshintshayo.",
uct_isiXhosa_statistics_glossary_41,Data set,ingqokelela yeenkcukacha,"1. A set of data, usually consisting of a common set of variables observed on each of the observational units (say n units by k variables).",,"1. Isethi yedata, ngokwesiqhelo equka isethi eqhelekileyo yezinto ezitshintshayo eziboniweyo kwenye nenye yeeyunithi zembonakalo (masithi iiyunithi zika-n nezinto ezitshintshayo zika-k)",
uct_isiXhosa_statistics_glossary_42,Data values,ugcino lweenkcukachamanani,"1. The numerical values of observations which constitute an experiment, survey or observational study.",,"1. Amaxabiso amanani eembonakalo akha umfuniselo, uphando okanye uphononongo lwembonakalo.",
uct_isiXhosa_statistics_glossary_43,Datum,iinkcukacha,1. A single element of categorical or numerical information.,,1. ilungu elinye lodidi okanye inani lolwazi.,
uct_isiXhosa_statistics_glossary_44,Decimal,idesimali,1. Using the base 10 in the representation of numbers and fractions (adjective).,,1. Ukusebenzisa isisekelo se-10 ukumela amanani namaqhezu/ amaqhekeza (isiphawuli).,
uct_isiXhosa_statistics_glossary_45,Decimal point,"ichaphaza ledesimali, desimalipoyinti",1. The symbol used to separate the integer value from the non-integer value of a real number. The symbol may either be a comma or a dot.,,1. Umqondiso wokwahlula ixabiso le-inteja kwixabiso lenani elingeyiyo i-inteja yenani lokwenene. Umqondiso unokuba yikoma okanye ichaphaza.,
uct_isiXhosa_statistics_glossary_46,Degree,iqondo,1. The degree of a non-zero monomial is the sum of the exponents of the variables. The degree of a polynomial is the highest degree of any one of its monomial terms.,,1. Iqondo lenani elinye elingengo-ziro sisiphumo somdibaniso wamanani okuphindaphinda atshintshayo. Iqondo lamanani amaninzi lelona qondo liphezulu lalo naliphi na lamagama alo enani elinye le-aljebra.,
uct_isiXhosa_statistics_glossary_47,Denominator,dinomineyitha,1. The number or expression at the bottom of a fraction or rational expression. The denominator of ¾ is 4.,,1. Inani okanye imbonakalo engaphantsi yeqhezu okanye imbonakalo enengqondo. Idinomineyitha ka-¾ sisi-4.,
uct_isiXhosa_statistics_glossary_48,Dependent variable,diphendentivariyebhuli; isimelinani esixhomekekileyo,"1. The variable of interest, often denoted by y, whose values are assumed partially associated with the values of some observed explanatory variables through a mathematical function.",,"1. Umdla otshintshayo, odla ngokuboniswa ngo-y, lowo amaxabiso awo athathwa enxulumene ngenxalenye namaxabiso ezinye izinto ezitshintshayo ezichazayo eziboniweyo ngomsebenzi wemathematika.",
uct_isiXhosa_statistics_glossary_49,Discrete data,iinkcukacha eziqingqekileyo,"1. Data whose values or observations are separate, distinct and therefore countable.",,"1. Idata leyo amaxabiso ayo okanye iingqwalaselo zayo zahlukeneyo, zicacile yaye ngako oko zinakho ukubalwa.",
uct_isiXhosa_statistics_glossary_50,Elementary event,uphawu loluhlu lweziganeko,1. Any event or subset consisting of only one element from the sample space.,,1. Nasiphi isiganeko okanye isetana yesethi equka ilungu elinye kuphela elivela kwisampulu yesithuba.,
uct_isiXhosa_statistics_glossary_51,Elements,iimpawu,1. Members of a set or sample space.,,1. Amalungu esethi okanye isithuba sesampulu.,
uct_isiXhosa_statistics_glossary_52,Empty set,iseti engenazimpawu,1. The empty set is the set that contains no elements. Equivalently called the null set.,,1. Isethi engenanto yisethi engaqulathanga amalungu. Ngokulinganayo ebizwa isethi etshitshisiweyo/ engenanto.,
uct_isiXhosa_statistics_glossary_53,Equation,ikhweyizhini,"1. An algebraic expression that uses an equal sign (""="") to state that two expressions have the same value.",,"1. imbonakalo yealjibra esebenzisa uphawu lokulingana (""="") ukuxela ukuba iimbonakalo ezimbini zinexabiso elifanayo.",
uct_isiXhosa_statistics_glossary_54,Equilateral triangle,ekhwilatherali trayiengile; unxantathu olingana nxazonke,1. A triangle such that all three sides have the same length.,,1. Unxantathu apho onke amacala enobude obufanayo.,
uct_isiXhosa_statistics_glossary_55,Equivalent equations,ii-ikhweyizhini ezilinganayo nxazonke,1. Equations that have exactly the same set of solutions.,,1. Ii-ikhwezhini ezinesethi efana ngqo yezisombululo.,
uct_isiXhosa_statistics_glossary_56,Error,ukusilela,"1. The difference between some observed value and an estimate or approximation to a typical value associated with the observation, often expressed as an absolute or relative difference.",,"1. Umahluko phakathi kwexabiso elithile eliqwalaselweyo neliqikelelwayo okanye elisondezwayo kwixabiso lokwenene elinxulumene noqwalaselo, lidla ngokuboniswa njengomahluko wexabiso elipheleleyo okanye elixhomekekileyo.",
uct_isiXhosa_statistics_glossary_57,Estimate,qikelela; thelekelela,"1. An indicative or typical value of an unknown quantity, based on observed data values.",,"1. Ixabiso elibonisayo okanye lokwenene lobuninzi obungaziwa, ngokusekwe kwidata yamaxabiso aqwalaselweyo.",
