id,eng,afr,zul,xho,ssw,nbl,nso,tsn,sot,ven,tso,eng_pos_or_descriptor,eng_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info,zul_pos_or_descriptor,zul_pos_or_descriptor_info,xho_pos_or_descriptor,xho_pos_or_descriptor_info,ssw_pos_or_descriptor,ssw_pos_or_descriptor_info,nbl_pos_or_descriptor,nbl_pos_or_descriptor_info,nso_pos_or_descriptor,nso_pos_or_descriptor_info,tsn_pos_or_descriptor,tsn_pos_or_descriptor_info,sot_pos_or_descriptor,sot_pos_or_descriptor_info,ven_pos_or_descriptor,ven_pos_or_descriptor_info,tso_pos_or_descriptor,tso_pos_or_descriptor_info
oertb_data_341,demography,demografie,ukwahlukana kwabantu,amanani ezintlu zabantu,kwehlukana kwebantfu,idemografi,thutadipalopalo,thutadipalopalo,thutadipalopalo,demogirafi,tinhlayo,,,,,,,,,,,,,,,,,,,,,,
oertb_data_342,subculture,subkultuur,isingasiko,inkcubeko eyonganyelweyo,emasiko lamancane,isiko ledlanzana,sekasetšo,setsopotlana,setso kahara setso,mvelele ya zwigwada zwiṱuku,ndhavuko wa vanu vo karhi,,,,,,,,,,,,,,,,,,,,,,
oertb_data_343,subjectivity,subjektiwiteit,ukuchema,ukuthath' icala,kwenganyelwa micabango yebantfu,ubujamo bokuzicabangela,kakanyotee,,taolo ya maikutlo,zwi ṱuṱuwedzwaho nga muhumbulo wa muthu kana vhuḓipfi hawe,nkucetelo wa miehleketo,,,,,,,,,,,,,,,,,,,,,,
oertb_data_344,socialisation,sosialisering,ukuzimatanisa,ukufundiswa ngeenkqubo zasentlalweni,kuhlalisana kahle kwebantfu,ukufunda indlela yokuziphatha eyamukelekako emphakathini,phedišano,thutaboitsholo,phedisano,maitele a u guda na u ṱanganedza milayo ya vhuḓifari,ku hanyisana na vanhu van'wana,,,,,,,,,,,,,,,,,,,,,,
oertb_data_345,dyads,tweetal,amadayedi,amaqedlana ayinxenye yoluntu,emadayedi,amadayedi,bobedi,bobedi,bobedi,tshigwada tsha miraḓo mivhili,vuxakaximbirhi,,,,,,,,,,,,,,,,,,,,,,
oertb_data_346,positivism,positivisme,ukubheka okuhle,inkolelo esekwe kwinzululwazi ngendalo,sicinisekiso,ukubusa kwabantu beembaji,netefatšo ka saense,netafatso ka dintlha,bonnete bo ka tiiswang,thyiori ine ya ombedzela uri nḓivho ya vhukuma i wanala nga kha tshenzhemo yo wanalaho nga kha zwipfi,xiyimo xa kahle,,,,,,,,,,,,,,,,,,,,,,
oertb_data_347,ethnocentrism,etnosentrisme,ucwaningo ngokobuhlanga,inkolelo yokuziphakamisa ngokwenkcubeko,lucwaningo ngekwebuhlanga,irhubhululo ngobuhlanga,tekolo ya ditšo tše dingwe,boitebo jwa lotso,boinahanelo ba bomorabe,muhumbulo wa u dzhiela nṱha mvelele ya iwe muṋe,vun'wini bya vuxaka,,,,,,,,,,,,,,,,,,,,,,
oertb_data_348,social change,sosiale verandering,ukuguquka komphakathi,inguquko kwintlalo,ingucuko kutenhlalo,itjhuguluko emphakathini,phetogo ya leago,phetogo ya loago,phetoho setjhabeng,u shandukiswa ha nḓowelo na milayo ya mvelele,ku cinca ka vanhu,,,,,,,,,,,,,,,,,,,,,,
oertb_data_349,conflict theory,konflikteorie,ithiyori yokungaboni ngaso linye,ingcingane ngongquzulwano,ithiyori yekungcubutana,ithiyori yokungaboni kokufana,teori ya thulano,tiori ya kgotlhang,teori ya kgohlano,thyiori ya u ombedzela u sa lingana vhukati ha zwigwada zwa vhathu,thiyori ya nkwetlembetano,,,,,,,,,,,,,,,,,,,,,,
oertb_data_350,sociological research,sosiologiese navorsing,ucwaningo lwezokuhlalisana kwabantu,uphando ngezentlalo,lucwaningo lwetekuhlalisana kwebantfu,irhubhululo eliphathelene nehlaliswano,nyakišišo ya sosiolotši,tlhotlhomiso ya sosioloji,diphuputso tsa thutaditjhaba,ṱhoḓisiso ine ya itiwa nga vhorasaintsi vha u ṱoḓisisa nga ha tshitshavha na vhuḓifari ha vhathu,ndzavisiso wa swa sosiyoloji,,,,,,,,,,,,,,,,,,,,,,
oertb_data_351,historical sociology,historiese sosiologie,umlando wokuhlalisana kwabantu,izifundo ngembali yentlalo,umlandvo wesayensi yekuhlalisana kwebantfu,umlando wokuhlalisana kwabantu,histori ya sosiolotši,sosioloji ya hisetori,thutaditjhaba ya nalane,sosiolodzhi ya u bveledzwa ha zwitshavha nga kha ḓivhazwakale,matimu ya ntivomahanyelo vanhu,,,,,,,,,,,,,,,,,,,,,,
oertb_data_352,symbolic interaction theory,simboliese-interaksieteorie,ithiyori yokuxhumana okuwuphawu,ingcingane yentsebenziswano ngemiqondiso,ithiyori yekutsintsana lokuneluphawu,ithiyori yehlanganyela elitshwayo,teori ya kgatoponagalo,tiori e e bonalang ya tlhotlheletsano,teori ya kgatotshebeletsano,thyiori kana muhumbulo une wa ombedzela vhudavhidzani nga zwiga,thiyori leyi kombaka ntirhisano wa xanchumu,,,,,,,,,,,,,,,,,,,,,,
oertb_data_353,functionalist theory,funksionalistiese teorie,ithiyori yokusebenza kwezinto,ingcingane ngokusebenzisana koluntu,ithiyori yekusebenta kwetintfo,ithiyori yekolelo yokuthi izinto zenzelwe ukusebenza,teori ya tlhamotšhomišo,tiori ya tirisokopanelo,teori ya thehotshebetso,thyiori ine ya ombedzela vhuthihi ha zwigwada kha tshitshavha,thiyori ya dizayinelo na ntirhiseko,,,,,,,,,,,,,,,,,,,,,,
oertb_data_354,dependency theory,afhanklikheidsteorie,ithiyori yokuncika,ingcingane ngoxhomekeko,ithiyori yekwetsembela,ithiyori yokuzisamisa,teori ya go bota,tiori ya boikaegi,teori ya ho itshetleha,thyiori ya maanḓa vhukati ha vhushaka ha dzitshaka,thiyori ya vanhu,,,,,,,,,,,,,,,,,,,,,,
oertb_data_355,labour force participation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_356,social exchange theory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_357,collective behaviour,kollektiewe gedrag,impathonqubo yeqoqo,ukuziphatha kwamaqela,indlelakutiphatsa yelicembu,ukuziphatha kwesiqhema,boitshwarotlhakanelo,maitsholo a tlhakanelo,boitshwaro bo kopanetsweng,vhuḓifari ha tshigwada,hanyelo ra nhlangano,,,,,,,,,,,,,,,,,,,,,,
oertb_data_358,group dynamics,groepdinamika,izinguquko zeqoqo,iinguqu-nguquko emaqeleni,kutiphatsa kwelicembu,amatjhuguluko wesiqhema,phedišano ya batho,dikamano tsa setlhopha sa batho,tshebedisano ya dihlopha,ngudo ya zwa matshilisano kha na vhukati ha zwitshavha,mahanyelo ya ntlawa,,,,,,,,,,,,,,,,,,,,,,
oertb_data_359,Emile Durkheim,Emile Durkheim,uEmile Durkheim,uEmile Durkheim,Emile Durkheim,uEmile Durkheim,Emile Durkheim,Emile Durkheim,Emile Durkheim,Emile Durkheim,Emile Durkheim,,,,,,,,,,,,,,,,,,,,,,
oertb_data_360,Karl Marx,Karl Marx,uKarl Max,uKarl Marx,Karl Marx,uKarl Marx,Karl Marx,Karl Marx,Karl Marx,Karl Marx,Karl Marx,,,,,,,,,,,,,,,,,,,,,,
oertb_data_361,moral panic,morele paniek,ukutatazeliswa imigomo yokuziphatha,iinkxalabo ngesimo,kwetfuka kwemitsetfo yekutiphatsa,ukuthusela okwesabisa ukuhlala kuhle komphakathi,ditlalelo tša setho,tlalelo ya setho,kotsi ya maemo a boitshwaro,maitele a u ṱuṱula mbilaelo kha vhathu,machavelo,s,,,,,,,,,,,,,,,,,,,,,
oertb_data_362,acoustic analysis,akoestiese analise,ukucutshungulwa kwemisindo yokukhuluma,uhlalutyo lothutho lwamaza ezandi,luhlatiyo lwemisindvo,ukucozululwa kwamatjhada wekulumo,tshekatsheko ya medumo,,,tsenguluso ya zwiṱaluli zwa mubvumo,nxopaxopo wa mipfumawulo,,,,,,,,,,,,,,,,,,,,,,
oertb_data_363,bilateral cleft lip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_364,receptive processes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_365,reconstructive surgery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_366,embryogenesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_367,plural,pluraal,ubuningi,isininzi,bunyenti,ubunengi,bontši,,,vhunzhi,vunyingi,,,,,,,,,,,,,,,,,,,,,,
oertb_data_368,procedure,prosedure,inqubo,inkqubo,inchubo,ikambiso,tshepedišo,mokgwatsamaiso,tsamaiso,maitele na matshimbidzele a risetsh,endlelo,,,,,,,,,,,,,,,,,,,,,,
oertb_data_369,submucous,onderslymvlies,i-submucous,umaleko ongaphantsi kwenwebu,ematseketseke langaphasi,i-submucous,lerana,,,lukanda lu re nga fhasi ha lukandakandane,xiphemu xa lakalaka,,,,,,,,,,,,,,,,,,,,,,
oertb_data_370,social structure,sosiale struktuur,umumo womphakathi,ulwakhiwo lwentlalo,sakhiwonhlalo,ibumbeko lomphakathi,sebopego sa leago,kago ya loago,sebopeho sa kahisano,zwiimiswa zwa matshilisano,xivumbeko xa matshamelo ya vanhu,,,,,,,,,,,,,,,,,,,,,,
oertb_data_371,participant observation,deelnemerwaarneming,ukuqapha ababamba iqhaza,uqwalaselo lomthathi-nxaxheba,kucaphelisisa lokuhlanganyelako,ukutjheja abazibandakanyako,temogo ya mokgathatema,tebelelo ya motsayakarolo,temoho ya monkaseabo,maitele a u dzhenelela ha murisetshi,vuxiyaxiya bya mutekaxiave,,,,,,,,,,,,,,,,,,,,,,
oertb_data_372,feminism,,ukuchema nabantu besifazane,ingcingane ngokucinezelwa kwabasetyhini,inkholelo kumalungelo alabasikati,ukulwela amalungelo wabasikazi,,mokgatlhotshadi,,,mafambafambelo ya vavasati,,,,,,,,,,,,,,,,,,,,,,
oertb_data_373,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_374,natural law,natuurlike reg,umthetho wemvelo,umgaqo ekudalwe ngawo ihlabathi,umtsetfo wemvelo,umthetho wemvelo,molao wa tlhago,molao wa tlholego,molao wa tlhaho,mulayo u bvaho kha mupo,nawu ntumbuluko,,,,,,,,,,,,,,,,,,,,,,
oertb_data_375,Max Weber,Max Weber,uMax Weber,uMax Weber,Max Weber,uMax Weber,Max Weber,Max Weber,Max Weber,Max Weber,Max Weber,,,,,,,,,,,,,,,,,,,,,,
oertb_data_376,anticlimax,antiklimaks,upholavuthondaba,,,,antiklaemekse,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_377,atmosphere,atmosfeer,"umoya, umuzwa",,,,atmosfere,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_378,ballad,ballade,ibhaladi,,,,"balade, palate",,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_379,independence,selfstandigheid,ukuzimela,,,,"boikemelo, boitalo",,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_380,autobiography,autobiografie,umlando womuntu,,,,boitaodišophelo,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_381,background,agtergrond,"isizinda, isendlalelo",,,,bokamorago,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_382,plagiarism,plagiaat,"ukuthatha amazwi omunye uwenze awakho, iplajiyarizimu",,,,boketšaetšane,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_383,art,kuns,ubuciko,,,,bokgabo,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_384,literary art,literêre kuns,ubuciko bemibhalo,,,,bokgabongwalo,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_385,unity,eenheid,"ubumbano, ubunye",,,,botee,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_386,detail,"detail, volledig","umniningwane, in detail, kabanzi",,,,botlalo,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_387,denotation,"betekenis, betekenis",incazelo eqondile,,,,denotheišene,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_388,linguistic constituants,linguistiese eenhede,amalungu olimi,,,,dielemente tša polelo,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_389,hymns,gewyde liedere,"amahubo, izingoma",,,,difela,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_390,principles,beginsels,"izimiso, imithetho",,,,dikokwane,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_391,literature,letterkunde,imibhalo,,,,dingwalo,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_392,characteristics,kenmerke,"izimpawu, izici",,,,"diphapantšho, maswao",,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_393,metric constituants,verseenhede,amalungu emethiliki,,,,dithometara,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_394,represent,verteenwoordig,mela,,,,emela,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_395,enjambment,enjambement,injambamenti,,,,"entšampemente, kelelothalo",,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_396,epic,epiek,i-ephikhi,,,,epiki,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_397,place,plek,indawo,,,,felo,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_398,fail,"misluk, teleurstel","umlingiswa ongabalulekile, umlingiswa owengezayo",,,,foele,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_399,phoneme,foneem,umsindo,,,,fonimi,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_400,phoneme of length,lengte foneem,umsindo wobude,,,,fonimi ya botelele,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_401,emphasise,beklemtoon,gcizelela,,,,gatelela,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_402,irony,spot,umbhinqo,,,,gegea,,,,,,,ironies,,,,,,,,,,,,,,,,,,,
oertb_data_403,to promote feminism,om feminisme te bevorder,ukuthuthukisa umqondo wobubufazane,,,,go godiša bosadi,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_404,symmetry,simmetrie,"ukulingana, ukufana",,,,"go lekana, go swana",,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_405,describe,beskryf,chaza,,,,hlaloša,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_406,interpret,interpreteer,"humusha, chaza, tolika",,,,hlatholla,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_407,"relax, light reading",ontspan,"-nganaki, ukufunda ngokungagxili",,,,itiša,,,,,,,soos in ontspanningsliteratuur,,,,,,,,,,,,,,,,,,,
oertb_data_408,identify,identifiseer,"khomba, thola",,,,"itswalanya, šupa",,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_409,summary,"opsomming, samevatting",isifingqo,,,,kakaretšo,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_410,exposition,eksposisie,isethulo,,,,kalotaba,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_411,"relation, relationship","verband, verhouding",ukulandisa,,,,"kamano, tswalano",,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_412,"narration, story","vertelling, verhaal","ukulandisa, indaba",,,,"kanegelo, kanego",,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_413,light reading,ontspanningsverhaal,ukufunda ngokungagxili,,,,kanegelo ya go itiša,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_414,serious literature,meelewingsverhaal,imibhalo esemqoka,,,,kanegelo ya kwešišano,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_415,short story,kortverhaal,indaba emfushane,,,,kanegelokopana,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_416,didactic story,"moraalstorie, didaktiese verhaal",indaba efundisayo,,,,kanegelothuto,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_417,divide,"verdeling , koördinasie","ahlukanisa, aba",,,,karogano,,,,,,,verdeeld wees van mekaar,,,,,,,,,,,,,,,,,,,
oertb_data_418,divide,koördinasie,ahlukanisa,,,,karoganyo,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_419,accidental constituent,toevallige eenheid,ilungu eliziqondanele,,,,karolo ya sewelo,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_420,"obligatory constituent, essential constituent",noodsaaklike eenheid,"ilungu eliphoqelekile, ilungu elisemqoka",,,,karolo ya tshwanelo,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_421,constituant of versification,verseenheid,ilungu lezibongo,,,,karolometara,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_422,extend,uitbrei,"nweba, khulisa",,,,katološa,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_423,extension,uitbreiding,"ukunweba, ukukhulisa",,,,katološo,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_424,allusion,sinspeling,"ukugudla, ukuhaya",,,,kayo,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_425,imitation,nabootsing,ukulingisa,,,,kekišo,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_426,synecdoche,verteenwoordiging,isinekdokhi,,,,kemedi,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_427,satisfactory,bevredigend,"okwenelisayo, okugculisayo",,,,"kgahlišago, nepagšego",,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_428,embarrassment,verwarring,"ukuphoxeka, ihlazo",,,,kgakanego,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_429,paradox,"teenstrydigheid, parodie","indida, impamba",,,,kgakantšhano,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_430,antithesis,"teenstelling, antitese",ukuhlanekezeleka,,,,kganetši,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_431,divide,"verdeling, koördinasie","ukwahlukanisa, aba",,,,kgaogano,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_432,"stress, emphasis","beklemtoning, emfase","ukugcizelela, isigcizelelo",,,,kgatelelo,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_433,irony,ironie,umbhinqo,,,,kgegeo,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_434,dramatic irony,dramatiese ironie,umbhinqo womdlalo,,,,kgegeoteramatiki,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_435,identify,"identifiseer, vereenselwig","khomba, thola",,,,kgethologanya,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_436,main theme,"sentrale tema, verhaaltema",indikimba esemqoka,,,,"kgokgo ya taba, kgwekgwe ya taba, kgopolokgolo",,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_437,hypothesis,"veronderstelling, hipotese",umcabango,,,,kgononelo,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_438,concept,begrip,umqondo,,,,kgopolo,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_439,comedy,komedie,isenamisi,,,,khomedi,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_440,connotation,"gevoelswaarde, gevoelswaarde",incazelo ekhombisa okuthile,,,,khonotheišene,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_441,emotion,"aandoening, emosie",umuzwa,,,,"khuduego, maikutlo",,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_442,sarcasm,sarkasme,ukubhuqa,,,,kodutlo,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_443,linking,skakeling,ukuxhumana,,,,"kopanyi, kgokanyi, tlemanyithalo",,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_444,hymn,gesang,ihubo,,,,kopelo,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_445,song,lied,,,,,koša,,,,,dancing,,dans,,,,,,,,,,,,,,,,,,,
oertb_data_446,children's song,kinderlied,iculo lezingane,,,,koša'bana,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_447,word stem,woordstam,isiqu segama,,,,kutu ya lentšu,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_448,"correspondence, conformity",korrespondensie,"ukufanelana, ukuvumelana",,,,kwano,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_449,comprehension,onderlinge begrip,"ukuzwa, ukuqonda",,,,kwešišano,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_450,litotes,verkleining,ilithothisi,,,,laethotese,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_451,"handle, control",beheer,"phatha, lawula",,,,laola,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_452,"space, period","ruimte, tydperk",isikhathi,,,,lebaka,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_453,focus,"gerig wees, fokus","gxila, qondisa",,,,lebantšha,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_454,cycle,siklus,isiyingi,,,,leboo,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_455,subordinate clause,bysin,umshwana oncikile,,,,lefokwana,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_456,synonym,sinoniem,umqondofana,,,,lehlalošetšagotee,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_457,lyric,liriek,ilirikhi,,,,"lehlologelwa, liriki",,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_458,"difficulty, problem","knoop, probleem","ubunzima, inkinga",,,,lehuto,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_459,title,titel,isihloko,,,,leina,,,,,,,,,,,,,,,,,la puku,,,,,,,,,
oertb_data_460,"be surveyed, be examined",word ondersoek,"cwaningwa, hlolwa",,,,lekolwa,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_461,antonym,antoniem,umqondophika,,,,lelatodi,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_462,"be noticed, be realized","word opgemerk, word begryp",bonwa,,,,lemogwa,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_463,metrical foot,versvoet,unyawomitha,,,,lenaometara,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_464,word,woord,igama,,,,lentšu,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_465,suspense,spanning,ilukuluku,,,,"maatlakgogedi, ngangego, phego",,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_466,verbs,werkwoorde,izenzo,,,,madiri,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_467,state of affairs,stand van sake,isimo sezindaba,,,,maemo a ditaba,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_468,"emotions, state of mind","gevoelens, gemoedstoestand",imizwa,,,,maikutlo,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_469,experiments,"proewe, eksperimente",imisebenzi yokulinga,,,,maitekelo,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_470,"amazement, astonishment",verbasing,ukumangala,,,,makalo,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_471,"grief, sorrow","verdriet, smart","usizi, ukudabuka",,,,manyami,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_472,tragedy,"tragedie, smart",isehlo,,,,"masetlapelo, tiragatšomasetlapelo",,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_473,introduction,inleiding,isingeniso,,,,matseno,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_474,coincidence,toeval,ukuqondana,,,,mawelakgahlano,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_475,speech sounds,spraakklanke,imisindo yenkulumo,,,,medumo ya polelo,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_476,"principles of versification, prosody",beginsels van versvorm,izimiso zezibongo,,,,melawana ya metara,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_477,melodrama,melodrama,umdlalo onesihluku,,,,meloterama,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_478,metre,"metrum, versvorm",imitha,,,,"metara, versification",,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_479,reader,leser,umfundi,,,,mmadi,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_480,body,hoofinhoud,umzimba,,,,mmele,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_481,speaker,spreker,isikhulumi,,,,mmoledi,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_482,person addressed,aangesprokene,okukhulunywa naye,,,,mmoledišwa,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_483,subject of discourse,besprokene,isihloko senkulumo,,,,mmolelwa,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_484,confidante,vertroueling,usifuba,,,,mmotiwa,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_485,persona,persona,"isithunzi somlingiswa, ukuvezwa komlingiswa",,,,moanegi,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_486,character,karakter,umlingiswa,,,,moanegwa,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_487,flat character,plat karakter,umlingiswa oyisicaba,,,,moanegwahlaedi,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_488,round character,ronde karakter,umlingiswa oyindilinga,,,,moanegwaphethegi,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_489,"minor character, moanegwanyane",newekarakter,umlingiswa omncane,,,,moanegwathuši,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_490,"main character, protagonist","hoofkarakter, sentrale karakter, protagonis",umlingiswa osemqoka,,,,moanegwathwadi,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_491,narrative course,narratiewe diskoers,inkulumo elandisayo,,,,moelatiragalo,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_492,hero,held,"iqhawe, umlingiswa oqavile",,,,mogale,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_493,heroine,heldin,"iqhawekazi, umlingiswa oqavile",,,,mogaleadi,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_494,recusant,teenstaander,umnqabi,,,,moganetši,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_495,tritagonist,opstoker,umelekeleli,,,,"mohlohleletši, molohlanyi, tritagonis",,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_496,function,funksie,umsebenzi,,,,"mohola, modiro",,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_497,genre,genre,uhlobo lobuciko,,,,mohutangwalo,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_498,"aid, assistant",bevorderaar,"umsizi, usizo",,,,mokgontšhi,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_499,core,kern,umongo,,,,moko,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_500,main theme,verhaaltema,indikimba esemqoka,,,,moko wa ditaba,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_501,message,boodskap,umyalezo,,,,molaetša,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_502,narrator,verteller,umxoxi,,,,molaodiši,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_503,boundary,grens,umngcele,,,,mollwane,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_504,syntactic boundary,sintaktiese grens,umngcele wemisho,,,,mollwane wa popafoko,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_505,antagonist,antagonis,imbangi,,,,molwantšhi,,,,,,,,,,,,,,,,,,,,,,,,,,
oertb_data_506,protagonist,protagonis,"ummeleli, iqhawe",,,,molwantšhiwa,,,,,,,,,,,,,,,,,,,,,,,,,,
