id,eng,sot,nso,ssw,ven,nbl,xho,zul,tsn,tso,eng_pos_or_descriptor,eng_pos_or_descriptor_info,sot_pos_or_descriptor,sot_pos_or_descriptor_info,nso_pos_or_descriptor,nso_pos_or_descriptor_info,ssw_pos_or_descriptor,ssw_pos_or_descriptor_info,ven_pos_or_descriptor,ven_pos_or_descriptor_info,nbl_pos_or_descriptor,nbl_pos_or_descriptor_info,xho_pos_or_descriptor,xho_pos_or_descriptor_info,zul_pos_or_descriptor,zul_pos_or_descriptor_info,tsn_pos_or_descriptor,tsn_pos_or_descriptor_info,tso_pos_or_descriptor,tso_pos_or_descriptor_info
unisa_multilingual_linguistic_terminology_277,relative,leamanyi,,Sibaluli,Litaluli,,,,,engetelo,a term which refers to a word which qualifies a noun or pronoun,,lereo le lebisitseng ho lentswe le lokelang ho ba lebitso kapa leemedi,monna ya soto o bolaile ntja ya nkgono ka sehloho (soto ke leamanyi la motheo/mantlha),,,Ligama lelichaza kabanti ngasobito.,Tonkhe tibaluli tinato tivumelwano.,Themo I sumbedzaho ipfi li talulaho dzina kana lisala.,,,,,,,,,,i theme leri kongomisaka eka rito leri ringanelaka riviti kumbe rivitavito,ndzi twile leswaku ku ta va ni engetelo wa vatirhi nan'waka
unisa_multilingual_linguistic_terminology_278,relative concord,lehokaamanyi,lekgoka-amanyi,Sivumelwano sesibaluli,Lipfanisi la litaluli la vhushaka,isivumelwano sesibaluli,,isivumelwano sesibaluli,thuanyi-amanyi,xitwananisi xa engetelo,a morpheme which brings agreement between the antecedent noun and the relative,,mofimi o tlisang tumellano dipakeng tsa lebitso le antisidente le leamanyi,mosadi ya bohale o shapa bana (ya polelong eo ke yona e kopanyang moetsi le leamanyi),lekgokedi le le hlolago tswalanao gare ga sediri le leamanyi,Mo sekafokong se: 'Monna yo a jago' lekgoka-amanyi ke yo a-,Sakhi lesiletsa kuvumelana kulibito kanye ne sibaluli emshweni,Lesi sivumelwano sesibaluli kulomusho lobutiwe.,Mofimi I fhaho nyandano vhukati ha dzina na vhushaka,a shumaho,Sisakhi esakha ubudlelwana phakathi kukasobizo nesibaluli emutjhweni.,"Isibonelo: Umsana obhema inyawupe uba sithingithingi.  Egameni elithi obhema, ukamisa u-o usivumelwano sesibaluli uveza ubudlelwana phakathi kwebizo eliyihloko nesibaluli esisuselwe esenzweni.",,,isakhi esiletha ubudlelwano phakathi kwebizo nesibaluli emshweni,isivumelwano sesiphawulo siletha ubudlelwano phakathi kukaSobizo nesibaluli emshweni,popi e e tlisang tumelano magareng ga leina le leamanyi,"mo polelong e, 'mosimane yo o utswang o tshwerwe',  'yo o', ke thuanyi-amanyi",i xiaki lexi tisaka ntwanano exikarhi ka xirhangamahlweni xa riviti na xiengetelo,ku ni milawu leyi lawulaka ku tirhisiwa ka xitwananisi xa engetelo
unisa_multilingual_linguistic_terminology_279,relative mood,sekaokamano,modirišokamanyi,Indlela lesibaluli,Limudi la liitilitaluli,,,,modiriso-kamanyi,riengetelo,"the mood of the verb in verbal relative constructions (Louwrens, 1994: 166)",,sekao sa leetsi ho dikaho tse amanang le seo ho buuwang ka sona,mme o rata hore bana ba hae ba hlomphane (polelo ena e bontsha sekaokamano hobane seo mme a se ratang ke kamano ya lerato baneng ba hae),modirišo wa lediri  sebopegong sa leamanyidiri,Mo sekafokong se: 'motho yo a lwalago' - le leamanyi 'yo a lwalago' le bopilwe ka lediri le le lego ka modirišokamanyi,Indlela sento lesikuyo ekwakhiweni kwetento tesibaluli.,Indlela lesibaluli itasichazela kabanti ngalokwentiwa nguPheki  kulomusho.,Limudi la liiti kha u vhumba liitilitaluli.,ane a shuma,,,,,,,modiriso wa lediri o o leng mo popegong ya puo,"fa polelo e re mosimane yo o gorogileng maabane o robetse, 'yo o gorogileng maabane o robetse' ke modiriso-kamanyi",i angulo wa riviti eka ku vumbiwa ka maendli yo engetela,1 riengetelo ri hi byela swin'wana hi riviti 2 riengetelo ri tsariwa ri helela kumbe ri komisiwa
unisa_multilingual_linguistic_terminology_280,relative suffix,sehlongwanthao sa leamanyi,moselana wa leamanyidiri,Sijobelelo sesibaluli,Mutshila wa liitilitaluli,isilungelelo sesibaluli,isibaluli,isijobelelo sesibaluli,setlhongwa sa leamanyi,xilandzi xa riengetelo,"the suffix which occurs with relative verbs (Louwrens, 1994: 168)",,sehlongwanthao se etsahalang le maetsi a amanyang,"bana ba ithutang ba ratwa ke matitjhere a bona (ho lentswe ithutang, sehlongwanthao se tlisang kamano ke ng)",moselana -go o hlomelwago kutudiring ge go bopša leamanyidiri,Mo go 'yo a sepelago' moselana wa leamanyidiri ke -go,Sijobelelo lesifakwa nakwakhiwa sibaluli.,Sitawfaka tivumelwano tesibaluli kulamagama kute ivakale.,Mutshila une wa vha hone kha liitilitaluli.,Nwana a shumaho oswika.,Isilungelelo esisetjenziswa nesenzo ukwakha isibaluli.,Ngifike lokha nabaphumako emhlanganweni. Kilomutjho igama elithi nabaphumako sibaluli esisebenzissa isilungelelo sesibaluli u-ko.,igama elibhekiselela kwigama elichaza isibizo okanye kwisimelabizo,"isibaluli ligama elichaza isibizo okanye isimelabizo njengokuthi: 'Uthethe inyaniso emsulwa', u-'emsulwa' sisibaluli esichaza u-'inyaniso' osisibizo",isakhi esisetshenziselwa ukhwakha isibaluli ngesenzo,egameni elithi abasebenzayo u-yo emshweni othi abantu abasebenzayo bavuka ngovivi uma beya emsebenzini uyisijobelelo sesibaluli esakhiwe ngesenzo,setlhongwa se se tlhagelelang le madiri a maamanyi,"mo go 'ngwana yoo lelang, ke wa me', 'ng' mo go 'lelang', ke setlhongwa sa leamanyi",i xilandzi lexi humelelaka na maendli yo engetela,"1 ""leti"" i xitwananisi xa riengetelo 2 riengetelo ri vumbiwa hi xitwananisi xa riengetelo ni nsinya"
unisa_multilingual_linguistic_terminology_281,relativer,moamanyi,,Sakhi sesibaluli,Litaluli,,,,kamanyi,xivumbariengetelo,"the initial element in verbal or nominal relatives (Louwrens, 1994: 168)",,elemente e qalang ho se buuwang kapa maamanyi ka lebitso feela,monna ya mathang o pholositse ngwana (polelong e boletsweng ya e sebetsa jwaleka moamahanyi hobane e amahanya moetsi le leamanyi mathang),,,Ingcenye yekucala kusento noma sibaluli.,Funekile utsite tonkhe tibaluli tineti vumelwano.,Tsshipida tsha u thoma/ranga kha maiti kana madzina a vhushaka.,,,,,,,,elemente ya kwa tshimologong ya lediri kgotsa leamanyi la lebadi,"mo polelong botlhe ba tsamaile, botlhe ke kamanyi ka fa e dira jaaka leina mme e se leina",i xiphemu xo sungula eka maendli yo engetela kumbe lama nga riki ya xiviri,eka Xinghezi rihlanganisi ri nga ha tekiwa ri ri xivumbariengetelo eka xivulwa
unisa_multilingual_linguistic_terminology_282,release,ho lokolla,,Kudedela,Mulitshedzo,ukuphuma kommoya,isimamva sesibaluli,ukuphuma komoya,tlogelo ya mowa,ku huma ka moya,"the type of movement made by the vocal organs away from a point of articulation, particularly with reference to plosives (Crystal, 2008: 412)",,"mofuta wa motsamao o etswang ke ditho tsa puo hole le ntlha ya qapodiso,  haholo ka ho lebiswa ho diqhomi","ho diqhomi moya o nang le kgatello o lokollwa ka potlako ha di qapodiswa, jwalo ka, medumo (p, ph le b)",,,Kunyakata kwetimphimisi letikhashane netindzawo tekuphimisa kute umoya udedelwe nakuphinyiswa emagama.,Bonkhe bantfwana batawudedelwa baye emakhaya.,"U litshedza hune ha itwa nga ogani dza ipfi u bva kha fhethu ha mubulo,zwihuluhulu zwo livhanywa na dzithuthubi.",,indlela ummoya ophuma ngayo lokha naudedelwa emaphatjhini.,Ummoya ukhutjhwa ngendlela ezihlukileko lokha nakuphinyiswa amatjhada.,"isimamva esifumaneka kwizibaluli ezakhiwe kwizenzi (Louwrens, 1994: 168)",isakhi u-'yo' kwigama elithi: 'eqhutywayo' sisimamva sesibaluli,indlela umoya ophuma ngayo uma kudaleka imisindo,umoya udedelwa ngezindlela ezahlukene lapho kuphinyiswa imisindo olimini,mofuta wa motsamao o  o dirwang ke dirwe tsa puo go tswa mo lefelong la tumiso segolo fa go tliwa mo ditumathunya,re tshwanetse go itse tsela e dirwepuo di dirang ka yona mo tlogelong ya mowa fa go dumisiwa medumo,"i muxaka wa mafambelo lowu endliwaka hi swirho swa marito kule kusuka eka mhaka ya matwariselo ya rito, ngopfungopfu hi ku kongomisa eka switatisi swo buluka",1 loko mi fika a wu ri nkarhi wa ku huma ka moya 2 switatisi swin'wana loko swi twarisiwa ku twala ku huma ka moya
unisa_multilingual_linguistic_terminology_283,repetitive extension,katoloso e iphethang,katološopoeletšwa,Selulo lesiphindvwako.,Mitshila ndovhololo,,,,megatlana e e ipoeletsang,,"verbal extensions which that an action or process is carried out repatedly between two or more referents (Louwrens, 1994: 168)",,dikatoloso tsa leetsi tseo ketso kapa tshebetso tse ntshetswang pele di iphetapheta pakeng tsa ditshupiso tse pedi kapa ho feta,titjhere e rutisisa barutwana (ketso ya ho ruta titjhere e e etsa e e latella),katološo ya madiri ye e laetšago gore tiro e a ipoeletša,Mabopi a bjalo ka  -akan- le -agan- ke mehlala ya katološopoeletšwa,Imphambosi lapho selulo siphindvwa phindvwa khona.,Selulo lesiphindvwako siyimvelakancane  eSingisini.,U dovholola ha mitshila ya maiti masikwa./ mitshila I dovhololaho ya maiiti masikwa,U vhonesesa bola./ -es-es-,,,,,,,katoloso ya madiri a mo go ona tiro kgotsa tirego e e diragalang ka go boelediwa ma gareng ga dikaedi tse pedi kgotsa go feta,"mo polelong, 'legodu le ne la ragakakiwa ke bamorafe', go dirisitswe mogatlana o ipoeletsana -kakiwa",,
unisa_multilingual_linguistic_terminology_284,replaceability,le tlosang,kemelalegato,Lephongotekako,U imelea,,,,thefosanyego,,"when a given element in a construction can be replaced with a linguistic element which has already been proven to be word, the replaceable part ia also regarded as an autonoumous word (Lourens, 1994: 106)",,"ha elemente e fanweng kahong e ka tloswa ka elemente ya thutapuo e seng e netefaditswe ho ba lentswe, karolo e tloswang e nkwa jwale ka lentswe le ikemetseng","mmuso o tsheheditse balemi nakong ya Covid-19 (lentswe balemi, le ka tloswa kapa la emelwa ke dihwai)","ge karolo ya popopolelo e tšeelwa legato ke karolo ye e šetšego e tšewa e le lentšu, karolo ye e tšeelwago legato le yona e tlo tšewa gore ke lentšu le le ikemetšego",(Tše) e emelwa legato ke (dieta): Tše di a tura,Lapho ingcenye letsite yesakhiwo ingamelwa ngulenye.,Mavela usebentise emangeleti kumela emanti.,"Tshipida tsho newaho hu tshi khou fhatiwa tshine tsha nga imelwa nga ipfi, tshipida tshine tsha nga imelwa tshi tou dzula tsho ralo.",,,,,,,,"fa elemente mo popegong ya polelwana e ka kgona go refosiwa ka elemente ya borutapuo e e setseng e tserwe gore ke lefoko, karolo e e refosegang le yona e tsewa jaaka lefoko le le ikemetseng",sekao sa thefosanego ke fa leina le refosiwa le leinatota,,
unisa_multilingual_linguistic_terminology_285,resonant,resonante,,Emarisonenti,Rezonenthe,uhlalelana/iresonenti,isakhi esandulela isibaluli,iresonenti,ditumatsweledi,,"sounds produced at the glottis with a relatively wide articulatory channel, so that no subsequent audible friction is produced, e.g. vowels, laterals, nasals, frictionless continuants  (Crystal, 2008: 414)",,"medumo e hlahiswang kodung ka motjha wa qapodiso o phatlalletseng, hore ho se be le kgohlano e utlwahalang e tla hlahiswa kamora moo, mohlala, didumanotshi, a mahlakore, didumanko, tse tswelang pele di sena kgohlano","ke phetapheto ya didumanotshi di le ding kapa di hoketse ho didumanko, didumahlakore le ditswelli tse se nang modumo. phetapheto ena e etsahala haholo dithothokisong",,,Umsindvo lophinyiswa emlonyeni wemphimbo lonelivi lelivakalako.,Mine ngitawubafundzisa kwekutsi emarisonenti aphinyiswa njani.,Mubvumo une wa bulwa kha gulothisi ho bvulea tshothe u itela uri hu si tsha vha na u suvha hu pfalaho.,[r],itjhada eliphinyiswa ngaphandle kokuphazamiseka kommoya,Abomakghadlana bamaresonenti ngombana nabaphinyiswako ummoya uphuma ngeempumulo awuthikamezeki.,"isakhi esandulela izibaluli ezakhiwe kwizenzi okanye kwizibizo (Louwrens, 1994: 168)",isakhi sesichazi u-'a' owandulela u-'emsulwa' kumzekelo ongasentla sisakhi esandulela isibaluli,umsindo ophinyiswa ngaphandle kokuphazamiseka komoya,omankankane ngamaresonenti ngoba umoya noma uphuma ngamakhala awuphazamiseki ndawo,"medumo e e tlhagisiwang mo kgokgotsong ka kanale e e bulegileng ya tumiso, gore go se ka ga diragala kgotlhagano e e utlwalang ka nako e o, jaaka ditumanosi, ditumatlhaa, ditumanko le ditumatsweledi tsa ditlhokamokgwasa","medumopuo 'l', 'm' le 's' ke ditumatsweledi",,
unisa_multilingual_linguistic_terminology_286,riddle,selotho,,Siphicaphicwano,Thai,ukurareja,isixando sophinda-phindo,isiphicaphicwano,thamalakwane,,"a puzzlingly indirect description of some thing, person, or idea, framed in such a way as to challenge the reader to identify it (Baldick, 2001: 219)",,"tlhaloso ya ho hong ka mokgwa wa papadi, motho kapa mohopolo o behilweng ka mokgwa o tla qholotsa mmadi ho o hlwaya","ntate o arabile potso eo ke neng ke mmotsa yona ka selotho, mme ka utlwisisa",,,"Umdlalo wekuchaza intfo letsite ngendlela lebhacile,lophicwako kumele acabange kute atfole imphendvulo.",Tiphicaphicwano ticitsa situnge ebantfwaneni.,"U vhudzisa hu songo livhaho hu talusho tshithu,muthu, muhumbulo, wo dzudzanywa nga ndila ine ya itela khaedu muvhali uri a I taluse.","Thai, ngulungulu mufaroni.","umdlalo odlalwa ziinqhema ezimbili, oqagelisa abawudlalako begodu uqeda isizungu.","Lokha nakudlalwa umdlalo wokurarejana, kuba nomrareji othula isirarejo naloyo/nalabo abararejwako okumele batjho ipendulo yesirarejo.","izixando zezenzi apho isenzo okanye inkqubo iphinda-phindwa phakathi kwezinto ekubhekiselelwe kuzo ezimbini nangaphezulu (Louwrens, 1994: 168)",isixando sophinda-phindo singazekeliswa ngokuphinda-phinda isimamva sesixando njengokuthi: 'Kufuneka undivisisise kakuhle' apho kuphinda-phindwe u-'is' kathathu,"umdlalo odlalwa ngamaqembu amabili, ocija abawudlalayo umqondo futhi onguqedisizungu","kuvamile ukuthi uma udlalwa umdlalo wokuphicaphicana, kuba nomphici owethula isiphicaphicwano nabaphicwayo okumele ukuthi basho impendulo yesiphicaphicwano","tlhaloso e e sa tlhamalalang e e gakang ya sengwe, motho kgotsa kakanyo, e beilwe ka mokgwa wa go gwetlha mmuisi gore a e supe","ka puo ya dithamalakane, 'sa re nyedi, sa re tse! 'e kaya legadima",,
unisa_multilingual_linguistic_terminology_287,root,motso,modu,Umsuka,Mudzi,umrabhu,ukubekwa endaweni yokunye,umsuka,,rimitsu,"that portion or core element in a word's structure whci remains after all prefixes and suffixes have been removed (Louwrens, 1994:170). A root is the base form of a word which cannot be further analysed without total loss of identity (Crysta , 2008:419)",,karolo eo ya lentswe kapa elemente ya bohlokwa sebopehong sa lentswe e dulang ka mora dihlongwapele tsohle le ha dihlongwanthao di tlositswe. motso ke motheo wa sebopeho sa lentswe o ke keng wa manolleha ho ya pele ntle le tahlehelo e felletseng ya boitsebiso,motso wa lentswe matha ke math-,lebopi le le rwelego tlhalošotheo ya lentšu gomme le ka se tlogelwego ka ntle go fetoša tlhalootheo,Modu wa moruti ke -rut-,Ingcenye yesakhiwo seligama lesalako nakususwe sicalo nesijobelelo.,Alikho ligama lelingenawo umsuka.,Tshipida tsha ipfi tshi salaho musi ho bviswa thani na mutshila kha ipfi lenelo.,Dzula : -dzul-a,"Yingcenye yegama ethwele umqondo wegama nofana engatjhugulukiko egameni, esalako lokha nakusuzwa isithomo nesilungelelo.","Egamenu siyakhamba, lokha nasisusa isivumelwano u-si nesakhi sekathi yanje u-ya nokamisa sigcino u-a kusala umrabhu.","xa kubekwa inxenye eseyibonwa njengegama ngokwezifundo ngeelwimi endaweni yenye kulwakhiwo oluthile, inxenye esusiweyo nayo ibonwa njengegama elizimeleyo (Lourens, 1994: 106)",ukubekwa endaweni yokunye kwenzeka rhoqo kwizivumelanisi ngenxa yokutshintsha kwamahlelo ezibizo esisetyenziswa kuzo isenzi esithile,ingxenye yegama okuyiyona ethwele umqondo wegama,umsuka yingxenye yegama enencazelo engumongo,,,i xiphemu kumbe xiphemu xa nkoka eka xivumbeko xa rito lexi salaka xa ha ri kona endzhaku ka loko swirhangi hinkwaswo na swilandzi swi susiwile. rimitsu i xivumbeko xa masungulo xa rito lexi ku nga ta ka ku nga ha yiwi emahlweni xi xopaxopiwa handle ka ku lahlekeriwa ngopfu hi xihlawulekisi,1 rimitsu ri tswonga mati emisaveni 2 Khalanga hi rona rimitsu ra ndyangu
unisa_multilingual_linguistic_terminology_288,semantic bleaching,tahlehelo ya semantiki,kgalogo ya tlhalošo*,Kulahleka kwenshokutsi,Bilitshi ya semantiki,,,,tirego ya bokaopuo,ku cinca ka nhlamulo ya rito,"the changes which take place in the meaning of a word when it develops into a formative or morpheme through the process of rank shifting (Louwrens, 1994: 173)",,diphetoho tse etsahalang moelelong wa lentswe ha le bopeha sebopehong kapa mofimi ka tshebetso ya ho fetola boemo,"ha ho fetolelwa mantswe ho tloha puong e nngwe ho ya ho e nngwe, ho na le ho ba le tahlehelo ya moelelo. mohlala ke ho bala le ho stadiya. ho stadiya ke ho bala o balla teko kapa hlahlobo empa ho bala ke ho bala feela ho se na seo o se ballang. ho bala ha ho na matla a letho",diphetogo tše di tšwelelago ge tlhalošo ya lentšu e fetoga go ba lebopi ka lebaka la phetogo ya maemo a lona,Phapano gare ga tlhalošo ya lentšu le 'go tla bjalo ka lediri' le ya sepopopolelo ya go laetša lebaka mo go 'ba tla sepela' e hlolwa ke kgalogo ya tlhalošo / tlhalošohlapelelwa*,Ingucuko lebakhona kunshokutsi yeligama nagabe ligucuka liba sakhi.,Umntfwana lomncane ufaka emagama lalahla inshokutsi.,Bilitshi ya semantiki.,,,,,,,,diphetogo tse di diragalang mo bokaong ba lefoko fa le fetoga go nna popi ka ntlha ya tirego ya tshuto ya maemo,sekao sa tirego ya bokaopuo se ka bonwa mo puong ya English moo lereo 'slay' le ne le kaya go bolaya motho kgotsa diphologolo mme gompieno le dirisiwa go kaya bontle,i ku cinca loku humelelaka eka nhlamuselo ya rito loku ku sungulaka ku cinca xiaki xa rito kumbe xiaki hi maendlelo ya xiyimo xa ku cinca,a ndzi n'wi tiva hi ku cinca ka nhlamulo ya rito
unisa_multilingual_linguistic_terminology_289,semantic object,moetsuwa wa semantiki,sedirwatlhalošwa,Mentiwa wemusho,,,,,sedirwa sa bokaopuo,xiendliwanhlamuselo,"the analysis of passive sentences to characterise the semantic role played by object nouns which occur in the subjecxt position while agreeing with the passive verb by means of the subject concord (Louwrens, 1994: 173)",,manollo ya polelo ya boetsuwa ho tshwaya karolo e bapalwang ke mabitso a moetsuwa a etsahalang maemong a moetsi ha a dumellana le leetsi la boetsuwa ka mokgwa wa lehokaetsi,difate di nwesetswa ke ntate (moelelo ha o a lahleha empa feela o qadile ka tsela e sa tlwaelehang),"leinantšu le le hlalošago motho goba selo se tiro e welago go sona, go se na taba gore leinantšu leo le maemotheong a lona mo lefokong","Lefoko la tirwa le dira gore sedirwa se tloge boemotheong bja sona se ye mathomong a lefoko, e be sedirwtlhalošwa",Nguleyo ngcenye yemusho letsintfwa senteko emshweni.,Mfanekiso ungumentiwa kulomusho.,Tshiitwa tsha semantika/i.,Ndo vhona tsheri.,,,,,,,tshekatsheko ya dipolelo tsa tirwa go supa diponagalo tsa tiro ya bokaopuo e e dirwang ke maina a didirwa a a tlhagelelang mo maemong a sediri mme a dumelana le lediri la tirwa ka thuanyi sediri,"mo polelong e, 'dinamune di jelwe ke bana, 'dinamune', di bontsha sedirwa sa bokaopuo 'gonne 'dinamune' e dumalana le lediri la tirwa 'jelwe' ka thuanyi sedirwa, 'di",i nxopaxopo wa swivulwatwisiwa ku hlawulekisa ntirho wa ntivohlamuselomarito lowu kombisiwaka hi maendlinkaswiendliwa leswi humelelaka eka nhlokomhaka hi ku tirhisana na xitwisiwa hi ku tirhisa xitwananisi xa nhlokomhaka,xiendliwanhlamuselo xi nandzihisa ririmi ra Xitsonga
unisa_multilingual_linguistic_terminology_290,semantic relationship/sense relations,kamano ya semantiki/dikamano tsa moelelo,,Budlelwanobenshokutsi,Vhushaka,,,,botsalano ba bokaopuo/,vuxaka bya tihlamuselo,"relationships which a lexical item contracts with other lexical items (Crystal, 2008: 432)",,dikamano tsa semantiki moo diaetheme tsa mantswe di kgutsufatswang ke dikamano le diaetheme tsa mantswe a mang,"bakeng sa puo e nepahetseng ho lokela ho ba kamano mahareng a moetsi, ketso le moetsuwa, ha tse tharo tseo di kopane mmoho di etsa polelo e nepahetseng",,,Budlelwano benshokutsi kumagama nome imishwana enkhulumeni.,Inkhulumo yaFiga inabo budlelwano benshokutsi.,Vhushaka vhune vhune ipfi la fhata  na linwe ipfi.,,,,,,,,botsalano bo lefoko le nnang le bona le mafoko a mangwe,"tsalano ya bokaopuo mo gare ga mafoko, lerato le letlhoo, ke ya kganetso",i vuxaka lebyi eka byona rito ri hungutiwaka hi marito man'wana,ku na vuxaka bya tinhlamuselo exikarhi ka marito mambirhi
unisa_multilingual_linguistic_terminology_291,semantic subject,moetsi wa semantiki,sediritlhalošwa,Inhloko yemusho,Thalutshedzo ya nefhungo.,itshwayo lehlathululo {Igama elithi indoda nelithi umsana ahlukaniswe ngokweenhlathululo nofana ngamatshwayo: indoda> umuntu + omduna + omdala kanti umsana> umuntu + omduna + omncani},ingxolo yesandi esiphinyiselwayo,inhloko yomusho ngokwencazelo,sediri sa bokaopuo,nhlokomhaka ya nhlamuselo ya marito,"that noun in a sentence which denotes the person or thing that is responsible for performing the action which is expressed by the verb, regardless of whether the noun agrees with the verb by means of the subject concord or not (Lourens, 1994: 174)",,lebitso leo polelong le bontshang motho kapa ntho e nang le boikarabelo ba ho etsa ketso e bontshwang ke leetsi ho sa natswe hore lebitso le dumellana le leetsi ka mokgwa wa lehokedi kapa tjhe,"Thabo o ruta bana Mmetse (Thabo ke moetsi wa polelo ena, eo a tlisang moelelo polelong ena)","leinantšu le le hlalošago motho goba selo se se phethago tiro mo lefokong, go se na taba le gore leinantšu le kwantšhwa le lediri ka lekgokasediri goba aowa",Mo go 'Go phonyokgile bagolegwa' -  bagolegwa ke sediritlhalošwa,Ligama emshweni lelisho umuntfu lowenta sento lesitsite.,Umenti akakhohlwa  kukhohlwa umenti.,Thalutshedzo ya nefhungo,Madoni a a difha.,amatshwayo okuhlungwa ngawo ihlathululo yegama emutjhweni.,,"izandi ezikhutshwa kwisangozwi xa umjelo walo wophimiselo uthande ukuba banzi, ukuze kungabikho kukhuhlana kuvakalayo osisiphumo saloo milo, umzekelo, izikhamiso, izandi eziphinyiselwa ecaleni lomlomo ezinelizwi, izinkantazi, nezitsalwa ezingezozifutho  (Crystal, 2008: 414)",ingxolo yesandi esiphinyiselwayo ivakala ngokupheleleyo kwizikhamiso kuba akukho apho umoya awuthinteleki kwiziphimiselo kuphimiselo lwazo,igama eliyinhloko yomusho ngokwencazelo yigama elithatha isikhundla senhloko yomusho kodwa elingeyona inhloko yomusho ngokohlelo lolimi,igama elithi inja emshweni othi Inja iluma ingane uyinhloko yalo musho ngokwencazlo ngoba iyona eyenza isenzo sokuluma kanti futhi iyinhloko yomusho ngokohlelo lolimi ngoba inobudlelwano nesenzo ngesivumelwano senhloko,"leina le mo polelong le thadisang gore motho kgotsa sengwe se na le maikarabelo a go dira tiro e e thadisiwang ke lediri, go sa kgathalesege gore leina le dumelana le lediri ka thuanyi sediri kgotsa nnyaa","mo polelong e, 'mme o apeile diretlo', 'mme e bontsha sediri sa bokaopuo gonne tiro e e diriwang e dirwa ke sediri, 'mme'","i riviti leri eka xivulwa lexi xi hlamuselaka munhu kumbe nchumu lowu nga ni vutihlamuleri ka ku teka goza leri ri hlamuseriwaka hi riendli, hambiloko riviti ri pfumelelana na riendli hi ku tirhisa  xitwananisi xa nhlokomhaka kumbe ku nga tirhisiwi xitwananiso xa nhlokomhaka",mudyondzisi u dyondzisa dyondzo ya nhlokomhaka ya nhlamuselo ya marito
unisa_multilingual_linguistic_terminology_292,semantics,thutamoelelo,,Isemanthiki/kuhlelekakwemusho,Divhaipfi,isemanthiki,ingcambu,isemanthiki,bokaopuo,ntivonhlamuselomarito,"a branch of linguistics devoted to the study of meaning in language (Crystal, 2008:428)",,lekala la thutapuo le ithutang ka moelelo puong,"morupedi o thahasella semantiki ho feta eng kapa eng kerameng. Sello ke ntja (ha ho bolele hore Sello ke ntja ya phoofolo, empa ho hlaloswa mekgwa ya hae)",,,Ligatja lesifundvo setilwimi lesibukene nekufundvwa  kwenshokutsi elwimini.,Sotilwimi ufundzisa bantfwana kuhleleka kwemusho.,Lutavhi lwa luambo lu lwo dinekedzaho kha u guda thalutshedzo dza maipfi.,,Isifundo esiphathelene neenhlathululo zamagama elimini,"Amagama amqondofana, amqondophika, abophimbohluka nalawo abomabizwafane angena ngaphasi kwesemanthiki.","loo nxenye okanye okuthile okungundoqo kulwakhiwo lwegama engaguqukiyo naxa sekususwe zonke izimaphambili nezimamva (Louwrens, 1994:170). Ingcambu isisiseko segama esingenakuhlalutywa ukuya phambili kungenjalo kungalahleka ngokupheleleyo ukuchongeka kwayo (Crysta , 2008:419)",ingcambu yesenzi esithi: 'nika' ngu-'nik' kuba yeyona ngxam yentsingiselo yegama nengenakususwa kulo,isifundo esiphathelene nezincazelo zamagama olimini,"ukufunda ngamagama amqondofana, amqondophika, angophimbohluka nalawo angomabizwafane kuwela ngaphansi kwesemanthiki",lekala la borutapuo le le reboletsweng thuto ya bokao mo puong,re simolotse karolo ya bokaopuo gompieno gore re tlhaloganye bokao ba 'popapolelo mo puong ya Setswana,xiyenge xa ntivotindzimi lexi tinyiketelaka ku dyondza tinhlamuselo eka ririmi,swichudeni swi tirhisa vutshila bya swona bya ntivonhlamuselomarito  ku xopaxopa tinhlamuselo
